user,pred_ns,ground_truth_x,common_items,pred_no_ns,items_in_ns_not_in_noNs,items_in_noNs_not_in_ns,ns_higher_ranked,noNs_higher_ranked
1368,"[2303, 2763, 1366, 4043, 3650, 1014, 3412, 3541, 2975, 103]","[537, 90, 2303, 560, 1955, 2040, 3006, 2451, 1247]",[],"[437, 1117, 67, 701, 1199, 46, 1111, 663, 90, 38, 2558, 2040, 658, 45, 37, 40, 695, 702, 736, 2554]","[3650, 2303, 103, 4043, 2763, 3412, 3541, 1366, 1014, 2975]","[658, 663, 37, 38, 40, 45, 46, 1199, 437, 695, 701, 702, 67, 1111, 90, 1117, 736, 2040, 2554, 2558]",[],[]
550,"[2719, 1479, 4033, 3116, 1906, 251, 2994, 1868, 3310, 4416]","[495, 167, 2613, 489, 962, 1598, 3148]",[],"[489, 1648, 171, 181, 976, 182, 281, 952, 948, 676, 201, 295, 341, 400, 292, 582, 1340, 685, 672, 104]","[4416, 4033, 1479, 3116, 1868, 3310, 1906, 2994, 251, 2719]","[400, 281, 672, 676, 292, 295, 171, 685, 948, 181, 182, 952, 1340, 582, 201, 976, 341, 104, 489, 1648]",[],[]
101,"[3893, 1681, 1652, 4474, 764, 2379, 3851, 3913, 1932, 3410]","[1747, 276, 1744, 1749, 1751, 1748, 1745]",[],"[823, 372, 914, 620, 718, 475, 118, 2832, 1727, 1800, 1805, 3159, 1002, 482, 3533, 438, 251, 3109, 924, 2407]","[3913, 3851, 2379, 1932, 1681, 3410, 1652, 3893, 4474, 764]","[1800, 1805, 2832, 914, 924, 3109, 438, 823, 1727, 3533, 718, 3159, 475, 482, 2407, 1002, 620, 372, 118, 251]",[],[]
272,"[3523, 3704, 2965, 964, 1652, 2409, 569, 1440, 298, 3029]","[374, 2940, 2722, 562, 726, 927, 2935, 2423]",[],"[927, 928, 726, 1697, 2893, 393, 799, 933, 374, 102, 376, 540, 1828, 734, 3459, 3664, 348, 564, 2381, 2007]","[1440, 3523, 964, 2409, 298, 1652, 2965, 3029, 3704, 569]","[3459, 393, 540, 927, 928, 1697, 799, 1828, 933, 564, 2893, 2381, 3664, 726, 2007, 348, 734, 102, 374, 376]",[],[]
1154,"[1588, 3006, 4033, 61, 1545, 1742, 514, 3109, 3341, 2814]","[2142, 737]",[],"[371, 930, 1691, 3807, 737, 1702, 636, 2054, 828, 1141, 1206, 437, 974, 2142, 439, 549, 1156, 2632, 1584, 376]","[4033, 514, 3109, 1545, 3341, 1742, 1588, 3006, 61, 2814]","[1156, 2054, 1691, 930, 549, 1702, 1584, 437, 1206, 439, 828, 2632, 974, 2142, 3807, 737, 371, 1141, 376, 636]",[],[]
1554,"[2756, 2268, 858, 928, 1471, 3345, 2332, 3840, 3614, 977]","[460, 737]",[],"[737, 460, 371, 1154, 3387, 270, 933, 3492, 3021, 261, 395, 377, 370, 3435, 1199, 376, 3867, 1565, 483, 468]","[928, 3840, 2756, 977, 3345, 2268, 858, 2332, 3614, 1471]","[1154, 261, 395, 270, 3867, 1565, 3492, 933, 1199, 3387, 460, 3021, 468, 737, 483, 3435, 370, 371, 376, 377]",[],[]
666,"[1965, 2941, 4137, 1790, 335, 4229, 1531, 3876, 1866, 1410]","[707, 2304, 548]",[],"[695, 707, 2554, 898, 20, 1014, 3116, 2931, 552, 90, 698, 1178, 561, 699, 553, 3113, 2034, 1955, 1, 1254]","[1410, 3876, 4229, 4137, 1866, 1965, 335, 1531, 2941, 1790]","[1, 898, 20, 1178, 1955, 552, 553, 3113, 3116, 561, 695, 698, 699, 707, 90, 1254, 2034, 2931, 1014, 2554]",[],[]
1651,"[1006, 1804, 1854, 2517, 850, 2124, 276, 2530, 1179, 1549]","[271, 2204, 164, 582, 181, 1040, 275]",[],"[582, 184, 581, 181, 168, 1393, 345, 218, 185, 65, 676, 673, 274, 827, 271, 296, 41, 1647, 336, 495]","[2530, 1804, 1549, 1006, 2124, 850, 276, 2517, 1179, 1854]","[271, 274, 673, 676, 168, 296, 41, 181, 184, 185, 827, 65, 581, 582, 336, 345, 218, 1647, 495, 1393]",[],[]
1733,"[4467, 5, 3243, 681, 2377, 3431, 1152, 3906, 3864, 4386]","[218, 784, 1094, 182, 1221, 797, 1940, 4192, 208, 1817, 1866, 665, 1237, 402, 401]",[],"[417, 784, 292, 1086, 1221, 1867, 1526, 495, 593, 218, 682, 232, 303, 1090, 1237, 952, 2946, 324, 955, 512]","[1152, 3906, 4386, 5, 3431, 2377, 681, 3243, 4467, 3864]","[512, 2946, 784, 417, 292, 682, 303, 952, 955, 1086, 1090, 324, 1221, 1867, 593, 1237, 218, 232, 495, 1526]",[],[]
599,"[987, 1165, 2489, 989, 3422, 3705, 3500, 464, 804, 1668]","[3591, 3868, 3036, 2148, 3091, 940, 357, 1361]",[],"[1156, 1361, 324, 1365, 2787, 1158, 2053, 220, 614, 636, 2165, 137, 156, 970, 1174, 148, 200, 1379, 2344, 59]","[1668, 804, 2489, 3500, 1165, 464, 3705, 987, 989, 3422]","[1156, 2053, 1158, 137, 148, 1174, 156, 2344, 59, 324, 200, 970, 1361, 1365, 220, 2787, 1379, 614, 2165, 636]",[],[]
245,"[2509, 4357, 1883, 4460, 2779, 1615, 2114, 646, 1854, 1432]","[315, 2683]",[],"[102, 2115, 10, 315, 508, 609, 744, 833, 845, 80, 1536, 1540, 591, 596, 3, 1190, 1882, 1333, 927, 435]","[2114, 4357, 646, 4460, 2509, 1615, 1432, 2779, 1883, 1854]","[1536, 3, 1540, 10, 927, 1190, 435, 1333, 315, 833, 2115, 845, 591, 80, 596, 1882, 609, 102, 744, 508]",[],[]
282,"[1704, 2782, 941, 1843, 3760, 3108, 2325, 4300, 3577, 1422]","[334, 673, 2202, 409, 176, 2853]",[],"[673, 218, 184, 498, 489, 2455, 336, 341, 402, 589, 959, 400, 2456, 2108, 65, 960, 168, 1391, 901, 1980]","[3108, 1704, 4300, 941, 1422, 3760, 1843, 2325, 3577, 2782]","[901, 400, 402, 2455, 2456, 673, 168, 184, 1980, 2108, 959, 960, 65, 589, 336, 341, 218, 489, 1391, 498]",[],[]
38,"[2178, 1772, 1819, 3486, 2585, 990, 3029, 4449, 3973, 2423]","[877, 839, 874, 532, 603, 608]",[],"[530, 603, 1812, 1334, 607, 594, 1009, 1519, 600, 874, 446, 532, 608, 591, 2158, 1520, 1335, 1004, 1008, 444]","[4449, 2178, 3486, 3973, 1772, 3029, 2423, 2585, 1819, 990]","[530, 1812, 532, 1334, 1335, 444, 446, 591, 594, 600, 603, 607, 608, 874, 1004, 2158, 1519, 1520, 1009, 1008]",[],[]
1224,"[2108, 2020, 3632, 1515, 3048, 4377, 1334, 1632, 4416, 3415]","[126, 1540, 49, 28, 2675]",[],"[1306, 744, 102, 484, 1718, 532, 794, 1434, 1025, 511, 2381, 530, 509, 508, 501, 80, 1785, 534, 793, 1697]","[1632, 4416, 2020, 3048, 1515, 3632, 1334, 3415, 4377, 2108]","[1025, 530, 532, 534, 793, 1306, 1434, 794, 1697, 1718, 2381, 80, 484, 102, 744, 501, 1785, 508, 509, 511]",[],[]
1759,"[4001, 1645, 905, 2738, 1799, 815, 2376, 3906, 1972, 1423]","[269, 257, 240, 2097, 1143, 2896, 1158]",[],"[257, 1143, 1150, 431, 828, 3074, 384, 1158, 548, 2291, 86, 438, 1161, 758, 906, 1634, 2669, 90, 624, 710]","[4001, 3906, 1799, 2376, 905, 1645, 815, 1423, 2738, 1972]","[384, 257, 3074, 1158, 1161, 906, 548, 431, 438, 828, 710, 86, 90, 1634, 2669, 624, 2291, 758, 1143, 1150]",[],[]
1302,"[289, 229, 1633, 803, 3372, 2062, 781, 3280, 2763, 3723]","[910, 624, 125, 243, 3020, 1575]",[],"[723, 343, 823, 937, 543, 248, 993, 430, 329, 438, 1522, 1425, 1995, 384, 910, 994, 624, 241, 1064, 1151]","[289, 1633, 803, 229, 2763, 3372, 781, 2062, 3723, 3280]","[384, 910, 1425, 543, 1064, 937, 430, 438, 823, 329, 1995, 723, 343, 993, 994, 624, 241, 1522, 248, 1151]",[],[]
434,"[131, 3736, 634, 3413, 2405, 3792, 1549, 1307, 2111, 1815]","[758, 906, 624, 1002, 994, 82, 898]",[131],"[258, 251, 723, 118, 624, 392, 430, 388, 761, 912, 1320, 2157, 2302, 1801, 1669, 131, 1315, 2110, 1292, 1410]","[2405, 1549, 3792, 3413, 1815, 3736, 634, 1307, 2111]","[258, 1410, 388, 1669, 392, 1801, 1292, 912, 1315, 1320, 430, 2110, 723, 2157, 624, 118, 761, 251, 2302]",[131],[]
1270,"[3050, 3051, 1600, 2295, 3968, 2966, 2693, 61, 1249, 2760]","[1292, 124, 437, 390, 388, 119, 3690, 1567, 253, 545, 395, 127]",[],"[253, 384, 388, 115, 252, 126, 393, 124, 545, 109, 1567, 128, 544, 127, 108, 119, 1284, 130, 723, 248]","[1600, 1249, 3968, 2693, 2760, 3050, 3051, 2966, 2295, 61]","[384, 128, 130, 1284, 388, 393, 1567, 544, 545, 723, 108, 109, 115, 252, 119, 248, 124, 253, 126, 127]",[],[]
139,"[2703, 2723, 3901, 749, 1226, 1806, 4430, 2640, 2183, 4080]","[65, 1825, 723, 685, 2065, 167, 249, 272]",[],"[167, 415, 182, 169, 966, 420, 975, 184, 197, 98, 230, 1033, 2165, 827, 899, 485, 173, 1898, 1684, 3144]","[2723, 2183, 1226, 749, 1806, 2703, 4430, 2640, 4080, 3901]","[899, 1033, 1684, 415, 420, 167, 169, 173, 182, 184, 827, 197, 966, 3144, 975, 98, 485, 230, 1898, 2165]",[],[]
201,"[893, 4236, 4183, 113, 2606, 4026, 282, 1559, 1681, 12]","[808, 484, 1547, 1444, 1311, 630, 299, 2269, 319]",[],"[511, 299, 2271, 522, 504, 512, 1056, 319, 1019, 1471, 2224, 530, 843, 533, 475, 501, 593, 510, 1025, 744]","[4026, 4236, 12, 2606, 113, 1681, 4183, 1559, 282, 893]","[512, 1025, 522, 530, 533, 1056, 299, 2224, 1471, 319, 843, 593, 475, 2271, 744, 501, 504, 1019, 510, 511]",[],[]
85,"[2474, 206, 424, 4230, 2907, 3906, 203, 858, 1294, 2781]","[1086, 786, 230, 1574, 298]",[],"[1085, 283, 679, 308, 682, 783, 683, 309, 786, 337, 512, 292, 798, 328, 338, 780, 2089, 677, 1717, 1692]","[3906, 4230, 424, 2474, 203, 206, 1294, 858, 2907, 2781]","[512, 780, 783, 786, 283, 1692, 798, 292, 677, 679, 2089, 682, 683, 308, 309, 1717, 1085, 328, 337, 338]",[],[]
1726,"[2571, 2143, 1122, 4005, 3051, 716, 1622, 2984, 3023, 1419]","[3998, 3347, 3059]",[],"[1056, 1471, 3347, 160, 1478, 1844, 3352, 3998, 1474, 153, 3350, 2926, 1476, 3349, 3061, 1472, 3808, 1632, 1851, 2006]","[1122, 4005, 2984, 2571, 3051, 716, 1419, 3023, 1622, 2143]","[3347, 3349, 3350, 3352, 153, 3998, 1056, 160, 1844, 1851, 1471, 1472, 1474, 1476, 1478, 2006, 3808, 1632, 2926, 3061]",[],[]
278,"[353, 386, 2495, 3139, 1264, 1448, 700, 2249, 1834, 1174]","[137, 257, 117, 453, 2000]",[],"[823, 826, 415, 364, 257, 283, 1630, 453, 3602, 2669, 1679, 2445, 1573, 1019, 249, 723, 1921, 682, 1158, 204]","[353, 386, 3139, 1448, 2249, 1834, 1264, 1174, 700, 2495]","[257, 1921, 1158, 2445, 1679, 3602, 283, 415, 1573, 682, 823, 826, 453, 204, 723, 1630, 364, 2669, 249, 1019]",[],[]
713,"[1240, 4438, 2872, 3926, 1082, 1083, 1075, 2082, 414, 1298]","[387, 910, 118, 384, 2110, 2253, 1280]",[1298],"[2110, 384, 937, 717, 392, 2253, 768, 387, 1489, 245, 1298, 916, 118, 3119, 933, 1141, 1121, 132, 248, 251]","[2082, 1075, 4438, 3926, 2872, 1082, 1083, 414, 1240]","[384, 768, 387, 132, 392, 916, 933, 937, 3119, 2110, 717, 2253, 1489, 1121, 245, 118, 1141, 248, 251]",[1298],[]
1784,"[4389, 3606, 499, 113, 4432, 1708, 135, 3963, 4407, 2904]","[728, 722, 2163, 907, 3971, 329, 905, 4447, 63, 723]",[],"[903, 910, 758, 2594, 2221, 2295, 1259, 400, 1580, 907, 1237, 415, 901, 169, 1679, 167, 2709, 303, 925, 296]","[4389, 135, 1708, 4432, 113, 499, 3606, 4407, 2904, 3963]","[901, 903, 907, 910, 1679, 400, 2709, 925, 415, 2594, 167, 296, 169, 1580, 2221, 303, 1237, 1259, 758, 2295]",[],[]
1719,"[696, 4152, 4389, 1953, 2387, 4281, 3736, 4307, 3408, 3641]","[109, 3089, 769, 2024, 1634, 2239]",[],"[388, 1284, 252, 253, 386, 2024, 2253, 258, 1064, 126, 2421, 1065, 2831, 3187, 87, 2267, 549, 1281, 2446, 246]","[1953, 4281, 4389, 696, 3408, 2387, 4307, 3736, 3641, 4152]","[1281, 386, 258, 388, 1284, 2446, 2831, 549, 1064, 1065, 2253, 87, 2267, 2024, 3187, 2421, 246, 252, 253, 126]",[],[]
765,"[3773, 890, 1569, 2819, 809, 4178, 2412, 4480, 672, 275]","[1690, 2428, 2024, 125]",[],"[381, 826, 1067, 1634, 348, 437, 2632, 258, 995, 251, 761, 929, 110, 125, 537, 1828, 989, 2142, 1481, 130]","[4480, 1569, 672, 2819, 809, 2412, 4178, 275, 890, 3773]","[258, 130, 537, 929, 1828, 1067, 437, 826, 2632, 1481, 348, 989, 2142, 1634, 995, 110, 125, 761, 251, 381]",[],[]
120,"[3893, 2945, 3260, 4435, 3023, 4475, 757, 2637, 989, 2106]","[319, 453, 1778, 1929, 1926, 448, 220, 308, 826, 450]",[],"[453, 4202, 3586, 1929, 105, 3640, 2673, 2001, 1995, 976, 731, 1988, 348, 343, 970, 336, 3759, 2368, 636, 610]","[2945, 2637, 3023, 4435, 3893, 757, 2106, 4475, 3260, 989]","[3586, 1929, 3759, 3640, 2368, 1988, 453, 970, 1995, 976, 2001, 336, 343, 731, 348, 610, 105, 4202, 2673, 636]",[],[]
625,"[1906, 2342, 1628, 1870, 1025, 3672, 2645, 4262, 455, 3358]","[975, 3845, 2121, 1033, 2293, 3912, 619, 1934, 2753, 2609, 432, 1092]",[2342],"[899, 1526, 2342, 682, 828, 2475, 3239, 436, 1219, 1449, 422, 1276, 415, 685, 171, 683, 2711, 4218, 1158, 778]","[1025, 4262, 455, 1870, 1906, 2645, 3672, 1628, 3358]","[899, 1158, 778, 2711, 415, 422, 3239, 1449, 682, 2475, 171, 685, 683, 436, 828, 1219, 1526, 4218, 1276]",[2342],[]
1243,"[4485, 2951, 4307, 3006, 344, 2603, 2755, 484, 3051, 1082]","[1221, 308, 614, 1393, 1219]",[],"[338, 337, 1785, 784, 532, 1221, 90, 309, 1109, 975, 923, 504, 512, 310, 300, 86, 302, 1526, 1048, 308]","[2755, 484, 4485, 2951, 2603, 3051, 4307, 344, 1082, 3006]","[512, 784, 532, 1048, 923, 300, 302, 308, 309, 310, 1221, 975, 337, 338, 1109, 86, 90, 1526, 504, 1785]",[],[]
1745,"[1991, 1748, 2234, 4039, 1246, 2261, 1092, 4325, 1692, 4303]","[482, 593, 1874, 1237, 504, 506, 1866, 325]",[],"[323, 308, 482, 504, 303, 784, 337, 793, 319, 777, 475, 522, 299, 753, 1336, 509, 93, 208, 1823, 1694]","[1092, 4325, 1991, 4039, 4303, 1748, 2261, 2234, 1692, 1246]","[777, 522, 784, 793, 1694, 1823, 299, 303, 308, 1336, 319, 323, 208, 337, 475, 93, 482, 753, 504, 509]",[],[]
1606,"[3887, 3080, 2959, 3650, 4096, 24, 2325, 1272, 1454, 1083]","[2968, 2392, 1751, 1114, 331, 2175, 207, 1224]",[],"[532, 593, 2535, 616, 1345, 102, 2114, 312, 3803, 1879, 1334, 2809, 596, 1519, 1536, 315, 1718, 890, 2179, 591]","[4096, 3650, 3080, 1454, 2959, 3887, 2325, 1272, 24, 1083]","[1536, 2179, 532, 1334, 1718, 312, 315, 1345, 2114, 591, 593, 596, 1879, 3803, 102, 2535, 616, 1519, 2809, 890]",[],[]
1093,"[3427, 4278, 1399, 443, 1986, 1712, 3886, 1896, 1307, 4272]","[1104, 2642, 1094, 2524, 1033, 2527, 1043, 272]",[],"[582, 176, 272, 492, 961, 218, 2166, 1339, 1094, 583, 489, 1647, 3570, 1393, 191, 1040, 573, 168, 1047, 969]","[1986, 3427, 1896, 3886, 1712, 4272, 443, 4278, 1399, 1307]","[272, 1040, 1047, 168, 176, 1339, 573, 191, 961, 582, 1094, 583, 969, 218, 489, 492, 1647, 1393, 3570, 2166]",[],[]
1434,"[3420, 971, 1664, 3911, 2585, 3776, 350, 2669, 990, 1156]","[1590, 1809, 3045, 2144, 953, 966, 2211, 2215]",[],"[1577, 440, 1578, 2211, 1590, 573, 1594, 966, 1599, 955, 981, 454, 492, 610, 2213, 1593, 2216, 2212, 105, 2208]","[1664, 3776, 350, 1156, 3911, 971, 2669, 2585, 3420, 990]","[2208, 2211, 2212, 2213, 2216, 1577, 1578, 1590, 440, 1593, 1594, 955, 573, 1599, 966, 454, 981, 610, 105, 492]",[],[]
762,"[3887, 1387, 3468, 1782, 3930, 571, 4049, 854, 1379, 3872]","[731, 4095, 2969, 3501]",[],"[323, 430, 2025, 45, 1410, 1802, 126, 885, 718, 329, 2558, 116, 711, 1135, 460, 695, 1322, 717, 38, 438]","[3872, 1379, 1387, 3468, 3887, 4049, 1782, 854, 3930, 571]","[1410, 1802, 38, 1322, 45, 430, 438, 695, 323, 2558, 711, 329, 460, 717, 718, 2025, 1135, 116, 885, 126]",[],[]
1730,"[2355, 1272, 1615, 461, 4032, 2023, 3944, 1242, 3976, 3914]","[1829, 2425, 437]",[],"[393, 110, 141, 823, 543, 136, 1067, 381, 450, 1073, 335, 3296, 1071, 1837, 125, 628, 2746, 2106, 2529, 118]","[4032, 2023, 3944, 3976, 3914, 461, 1615, 2355, 1272, 1242]","[136, 393, 141, 543, 1067, 1837, 1071, 1073, 823, 2746, 2106, 450, 335, 3296, 2529, 110, 628, 125, 118, 381]",[],[]
1843,"[1588, 3911, 1207, 4280, 3837, 4296, 120, 3097, 126, 347]","[369, 388, 245, 2630, 262, 355, 1122, 110, 617, 3833, 4024, 3109]",[],"[388, 1489, 553, 132, 110, 245, 239, 109, 262, 3379, 253, 1141, 933, 544, 88, 3221, 725, 1308, 1111, 549]","[3911, 4296, 1588, 1207, 4280, 3097, 347, 120, 3837, 126]","[132, 388, 262, 3221, 1308, 544, 933, 549, 553, 3379, 1489, 725, 1111, 88, 109, 110, 239, 245, 1141, 253]",[],[]
1203,"[1588, 4397, 218, 256, 3414, 2216, 3865, 2634, 2915, 632]","[1603, 1655, 1652, 68, 663, 1654, 2811, 44, 1657, 641, 648]",[],"[646, 658, 68, 54, 2374, 641, 1246, 52, 663, 58, 1655, 651, 1254, 635, 1603, 3380, 3541, 1654, 643, 56]","[256, 2915, 2216, 2634, 4397, 1588, 3414, 632, 3865, 218]","[641, 643, 646, 651, 658, 663, 52, 3380, 54, 56, 58, 1603, 68, 2374, 3541, 1246, 1254, 1654, 1655, 635]",[],[]
367,"[4393, 1967, 4183, 4047, 895, 1779, 4032, 728, 4070, 3882]","[726, 3303, 2100, 1092]",[],"[431, 436, 257, 1092, 825, 3174, 2096, 1161, 256, 2695, 2613, 3376, 3083, 93, 148, 163, 1147, 2753, 348, 2730]","[4032, 4070, 4393, 3882, 4047, 1967, 1779, 4183, 728, 895]","[256, 257, 2695, 1161, 3083, 148, 163, 2730, 431, 2096, 3376, 436, 2613, 825, 2753, 1092, 348, 93, 3174, 1147]",[],[]
1804,"[399, 1399, 1758, 1218, 4013, 3097, 4142, 392, 110, 3010]","[3334, 474, 850, 2706, 1726, 2996, 426]",[],"[84, 5, 460, 370, 1247, 81, 266, 41, 989, 855, 1360, 14, 1117, 1014, 321, 245, 1130, 770, 1987, 3192]","[3010, 1218, 392, 4013, 4142, 399, 110, 1399, 3097, 1758]","[770, 5, 266, 14, 41, 321, 1987, 460, 1360, 81, 84, 855, 989, 1117, 1247, 1130, 370, 245, 1014, 3192]",[],[]
447,"[287, 2787, 3412, 4214, 3047, 919, 2989, 2053, 1517, 4069]","[3536, 204, 2758, 2501]",[],"[2430, 2758, 543, 2606, 2755, 3838, 2071, 923, 3174, 784, 216, 504, 2141, 3043, 2757, 3044, 2488, 684, 1002, 2281]","[2787, 4069, 2053, 3047, 2989, 1517, 3412, 4214, 919, 287]","[784, 2071, 923, 543, 684, 2606, 2488, 2755, 2757, 2758, 216, 2141, 3043, 3044, 3174, 2281, 1002, 3838, 504, 2430]",[],[]
210,"[149, 544, 2896, 2624, 4425, 3773, 2923, 4353, 1535, 2752]","[651, 379, 928, 437, 64, 106]",[],"[106, 649, 368, 1634, 68, 437, 1252, 929, 1244, 1862, 549, 558, 64, 1864, 47, 1603, 659, 651, 3457, 2448]","[544, 4353, 2624, 2752, 4425, 2923, 2896, 149, 3773, 1535]","[3457, 649, 651, 2448, 659, 929, 549, 558, 47, 437, 64, 1603, 68, 1862, 1864, 1244, 1634, 1252, 106, 368]",[],[]
437,"[1106, 1646, 4179, 302, 183, 148, 3105, 3110, 2428, 3456]","[1156, 973, 735, 3512, 3513, 2790, 1249]",[],"[447, 95, 48, 105, 929, 1702, 2791, 577, 828, 2673, 576, 2162, 931, 106, 220, 930, 2143, 1156, 1137, 2049]","[3456, 3105, 3110, 1646, 302, 1106, 4179, 148, 183, 2428]","[2049, 1156, 929, 930, 931, 1702, 48, 828, 447, 576, 577, 220, 95, 2143, 2791, 105, 106, 2673, 2162, 1137]",[],[]
978,"[1967, 3312, 3233, 2306, 3101, 3837, 3822, 2174, 3090, 2528]","[1580, 2091, 1893, 3174, 825]",[],"[1580, 181, 975, 171, 582, 167, 342, 948, 402, 204, 191, 186, 2548, 976, 343, 952, 279, 680, 1338, 333]","[2528, 3233, 2306, 3822, 1967, 3312, 3090, 3101, 3837, 2174]","[402, 279, 167, 680, 171, 1580, 948, 181, 952, 186, 1338, 191, 582, 204, 333, 975, 976, 342, 343, 2548]",[],[]
