users,items
87,1585
835,66
646,2691
92,1660
850,3427
595,347
898,1334
1762,3267
81,439
761,3555
1820,4219
800,819
1739,1956
280,250
1611,1893
988,577
1438,188
616,2859
1077,926
1613,2574
1875,700
683,96
1432,923
1082,3601
1252,1286
422,102
66,119
772,962
89,828
1801,3297
408,416
71,1375
1540,122
1662,2450
808,737
1016,1523
1657,3526
984,1015
920,369
145,1580
1749,1567
1179,745
1648,1411
1280,347
1348,1311
825,25
1438,900
1340,2463
432,1711
1694,4217
375,1187
1503,2476
1306,421
917,105
1083,66
891,1644
1764,956
425,1742
1002,1336
75,1446
308,2149
411,1858
1128,3243
607,3870
1080,796
1276,493
1177,1092
862,1568
625,513
1142,313
1699,2811
80,110
1746,2990
1258,1341
627,1384
1797,1984
680,3110
144,1527
1292,966
566,3799
1449,3994
789,3833
1293,718
411,3352
533,3348
1175,2172
755,129
415,1780
196,2076
1180,1095
1108,1222
275,1044
908,2022
247,2814
658,1379
497,680
1737,1912
1741,2452
578,1393
1527,1683
12,338
466,1341
106,1792
984,1176
1341,674
1041,2116
1386,905
1271,382
1531,349
1657,175
239,482
1646,4047
1150,3084
1370,152
1867,785
1861,483
1053,4066
221,1307
1613,1341
861,2604
1368,1756
991,1490
913,4269
1373,438
539,1219
844,449
1870,337
579,131
57,892
1147,938
1644,334
360,183
1650,2001
599,734
991,3032
1218,729
14,374
548,324
238,2753
1868,1344
991,1386
474,1956
649,3944
1198,344
773,737
1568,1273
1425,1051
1617,3699
1499,320
1329,4392
893,432
542,2013
356,165
960,2486
479,544
176,2374
629,2159
1816,1882
980,3535
1566,588
1023,1666
1286,296
1651,3424
1310,2632
252,2479
425,3469
1627,188
1828,262
1886,3943
1463,42
237,138
149,2122
349,715
759,1527
632,219
658,2791
748,416
368,1024
933,177
1245,1708
421,284
821,4004
551,273
922,913
1749,1699
259,746
1183,2067
652,647
844,2197
1534,1057
1095,420
1264,837
1233,1307
59,138
1197,981
972,3591
204,2577
1780,265
6,181
1795,3492
834,691
154,2176
842,455
1866,577
123,314
778,726
1657,677
1867,505
263,2893
818,296
1362,650
1162,682
134,1544
995,1482
165,115
1678,2271
1179,101
886,661
101,1431
719,331
130,673
1248,2976
376,1521
1391,2106
1254,46
692,2595
332,961
557,1194
253,50
258,618
680,759
223,421
64,59
458,550
314,191
1229,177
1325,1220
1526,256
1139,2321
1552,431
665,1416
1760,4411
1728,3411
713,1193
1609,3297
901,4251
1739,4070
604,719
101,1743
1387,683
1217,2286
175,2369
18,475
730,1273
1241,2261
1013,678
1373,546
1240,417
240,99
559,3776
351,1222
451,3544
1578,1523
1564,3199
506,1068
1694,2061
917,168
1816,1767
1114,685
1474,571
1873,2301
1374,513
169,2028
1662,3443
1586,309
1559,2432
795,2478
79,1492
1405,1599
1157,985
1253,2444
1300,265
269,924
111,1842
590,256
1166,1470
601,422
911,3677
1359,58
1849,3371
99,744
420,101
149,1894
909,1068
1653,673
62,1206
579,1698
1279,209
176,924
408,625
781,547
613,2778
92,1034
353,1592
819,272
306,1451
1382,443
962,1386
1217,541
195,1176
1150,437
1883,3749
1491,611
1388,837
1394,1198
1678,1714
1336,4462
1681,2153
403,1222
607,438
1577,1057
212,313
172,137
961,91
995,106
68,730
805,2153
1575,1639
1689,2885
693,72
1057,50
971,1053
1772,2343
948,66
1797,2832
946,502
199,1174
298,88
297,394
1594,308
755,111
1671,88
243,2518
1618,258
1282,4280
41,919
1104,929
1116,653
70,561
831,4180
281,2985
158,732
1781,911
1679,604
1304,310
748,458
1495,421
1535,2706
79,1487
203,1341
1508,1527
1846,325
632,334
995,827
422,930
393,1047
1729,2602
561,2517
44,296
528,2555
1621,3021
651,221
244,682
1172,3206
155,2009
518,290
1856,192
430,1425
392,577
1417,342
1206,1298
306,189
438,1217
1654,996
900,3453
229,66
257,1
509,231
1530,331
1510,117
90,1640
584,3224
1557,1341
293,8
1213,1635
1732,1631
611,1425
454,3548
526,573
999,2570
1623,991
345,1736
557,2968
1718,1215
365,304
1733,416
410,30
1790,128
154,169
1431,2526
1568,4014
425,23
59,372
352,59
281,2984
348,1427
1073,506
1226,1221
782,310
418,2840
152,1188
261,791
423,636
14,383
497,3134
1790,116
1202,610
997,2101
577,571
823,4169
1146,308
672,349
397,531
1208,2741
852,4137
104,844
1388,518
558,2529
214,1391
1266,1591
1830,1176
1257,2999
1314,2716
9,253
192,2479
298,1386
1105,2361
1064,696
380,3332
1276,3523
1571,3897
49,844
1483,706
106,152
770,601
1217,1196
78,1070
1713,188
1534,188
773,4034
255,168
151,2143
1634,924
146,1147
1561,2111
1441,1310
1650,258
996,4068
1226,798
687,2147
1775,2277
363,1869
799,373
609,3889
720,94
253,1756
1621,788
1294,1366
1701,3224
445,976
675,1041
1258,490
1539,584
328,1035
234,2726
785,1221
1735,4332
541,969
1665,523
724,297
570,1490
1440,682
1220,1840
1495,1922
1304,2436
94,29
1667,445
816,1569
22,572
351,1993
1763,561
828,513
1755,745
880,2082
732,338
1075,1590
434,439
408,349
1085,2040
645,365
1659,902
927,339
1660,3505
581,2907
1015,233
502,340
500,967
528,538
1728,4270
1398,345
1506,3553
1390,87
1293,2294
603,1880
1434,126
153,2065
1241,2331
1180,296
1771,167
882,102
915,237
982,1630
1132,3161
1004,967
1263,1639
1385,358
1244,320
1491,198
1286,412
993,2022
319,142
485,1683
391,1997
1266,2476
707,2712
268,343
1079,3205
1116,724
84,182
1304,1315
1712,389
802,2109
1842,2988
1216,1313
414,107
1280,1922
1205,1949
701,785
274,421
875,1121
1208,330
673,2674
293,2308
1860,106
1319,828
1582,2678
784,1910
1830,1683
247,1454
1728,1712
1332,4001
1851,3475
78,1472
186,349
935,818
1057,3097
950,38
1111,1164
1101,347
1761,187
1056,385
6,169
1690,1506
717,447
259,7
920,4278
1283,990
1392,497
1818,926
132,173
1162,178
380,929
439,2460
943,246
966,3224
1365,454
362,150
1687,1929
115,208
119,476
41,461
1320,539
1090,1317
557,1605
848,3079
795,2272
1764,441
68,1332
733,1183
260,2691
1299,2644
895,3307
1607,698
920,2674
704,581
445,3528
1800,936
1149,400
121,1337
453,3236
1334,588
1867,2281
500,96
325,1996
1788,599
1399,577
1489,186
1374,299
276,1006
683,3678
1599,4214
1851,2569
1877,4474
576,2975
205,918
1197,284
1694,3193
796,118
1854,1630
505,807
1070,2567
1756,2529
815,962
1399,1680
1610,119
1216,3775
38,863
1276,682
1386,42
824,1678
787,3541
833,597
988,217
1523,344
1627,1569
1265,1336
1089,1190
1620,346
1816,505
583,1370
14,376
878,702
561,994
313,1024
126,143
355,613
1579,4266
979,2766
306,902
329,962
279,766
863,919
3,101
747,186
1646,540
152,1187
1019,1047
1235,4302
188,2439
1580,3496
1674,1670
1109,576
1103,3542
1827,346
612,210
1177,421
1315,63
777,165
1694,2659
170,309
1768,773
1474,1156
414,2502
1776,2955
1232,2600
1342,2483
684,2393
1579,3161
1866,447
1315,1195
1341,339
1663,3680
187,117
496,182
770,2159
592,445
711,899
1780,3775
1006,1348
1236,590
61,891
1855,785
1856,903
1881,2792
1864,3780
1429,4082
822,104
1656,246
262,340
655,168
82,324
1676,1310
1204,1863
155,509
1252,1062
559,218
204,940
651,2788
928,905
1086,275
1369,107
1599,2546
657,1070
840,184
394,45
1549,280
1783,2879
1743,682
737,293
1556,1412
907,1484
1437,582
513,217
499,83
606,1613
1679,1545
733,706
408,1635
723,53
529,2771
978,1074
1830,726
595,940
484,91
575,1022
524,373
548,3005
1296,1724
636,3542
52,688
428,304
864,469
1089,543
62,1218
1627,1580
646,979
10,286
588,338
1427,967
76,1454
1335,198
98,1568
1353,261
674,394
1777,427
1534,162
765,4047
239,74
735,2794
875,298
1834,1065
1627,2760
778,396
1078,2042
1689,1520
1205,3606
470,686
1871,3639
389,342
1422,1282
1064,1114
1647,87
742,1764
1215,630
85,1564
881,4017
515,535
731,795
1716,2035
798,165
263,2450
954,1678
441,3052
100,1726
286,956
322,2606
944,4181
1778,761
1455,301
712,324
565,2329
901,1125
1071,1243
1040,51
1459,4333
882,126
529,543
1856,707
1613,2614
18,320
73,227
418,1281
1484,930
56,1101
1674,794
809,2917
997,784
542,2275
530,385
1400,1324
523,118
112,331
322,3068
167,2305
556,594
778,461
1096,1900
164,2290
1242,252
593,168
1087,1751
1501,1853
1783,336
991,1688
1517,2110
1031,1072
1304,1228
305,283
368,1523
1781,1134
1617,365
434,242
970,2102
196,340
1072,2891
222,2330
1447,559
1106,1561
681,731
1052,976
1690,369
1036,990
216,2189
1494,2110
1579,2334
56,962
473,2266
1550,3093
1078,2035
440,96
883,719
1017,1696
542,533
1130,2915
268,282
1822,275
1349,656
215,125
979,1599
902,1110
844,8
361,924
1660,1307
1170,1337
993,2793
1173,1705
350,2392
1028,990
1332,1816
355,604
1632,4110
795,3594
215,382
22,569
1780,3284
1496,2223
296,1266
427,877
497,1686
881,2062
621,257
1832,117
1695,427
1642,3742
1566,2064
221,1860
919,369
855,3783
1057,1772
1773,445
1683,249
495,3448
1327,523
758,275
1126,1175
596,272
1362,3311
1145,380
1732,4329
49,842
1028,1132
716,87
1628,1790
862,2429
994,1489
966,1455
562,2792
1380,1717
343,347
1355,1604
256,514
1801,182
222,809
119,502
289,611
1576,458
196,674
948,3540
1646,443
1133,92
907,117
713,3187
1479,4259
653,187
521,860
1016,436
1460,3377
816,1148
160,1283
73,211
535,403
924,3426
1630,930
685,286
847,3042
1634,596
1556,3110
515,531
268,297
668,591
397,97
1126,1038
1349,3851
399,484
1679,597
1473,2614
239,1432
67,1309
786,592
1204,1250
699,150
1016,286
649,897
840,337
253,142
792,181
677,3491
1253,372
730,3976
819,960
407,310
1187,177
965,182
874,591
1004,731
235,2733
1417,1895
40,105
1726,550
381,1361
578,325
1186,429
335,3137
122,412
4,110
253,2389
1388,885
876,249
1775,2625
812,490
701,2339
451,1187
685,83
149,1522
92,1651
1010,201
1430,1527
850,1003
1677,1392
926,2927
1380,3603
119,372
896,4009
875,1316
738,152
966,2511
553,615
701,2508
1319,1383
585,1310
770,2726
850,1069
92,1454
546,1106
1524,3115
1137,1380
1722,2895
1136,4412
1491,588
758,2645
1186,1620
911,1127
1310,1704
422,929
831,678
1220,351
1165,1329
425,801
1820,1032
227,1883
1616,3688
1641,3682
1201,2947
289,608
978,2489
1320,4346
1465,316
1536,3398
1154,2530
1766,977
1885,824
1322,340
1499,3179
658,2712
404,505
303,3065
814,3663
653,282
341,2749
986,4269
1291,447
848,3121
892,1587
1641,246
1803,1478
1089,87
606,3282
40,126
580,2938
1254,3521
235,1902
1789,891
787,2431
823,809
125,590
972,99
506,1162
964,2034
231,1890
1229,2104
1412,1924
1829,1411
972,1834
953,1253
1867,483
1122,1149
957,83
429,1886
630,610
400,585
1506,1917
1113,344
297,3036
87,1598
260,88
1741,879
1738,1232
1864,1469
85,110
1839,2243
17,450
249,513
1118,94
1287,4386
1390,4096
890,2494
260,293
124,1954
467,188
367,3300
54,90
564,3794
1379,183
444,3527
817,227
1886,2892
536,1852
1256,615
460,804
149,11
516,2576
137,1865
1575,119
1252,4127
622,168
1045,449
1785,2628
238,2754
175,50
1597,1310
1116,3595
1081,335
367,636
1341,602
228,2173
153,2166
621,433
1477,272
1168,1727
355,884
1237,1688
1699,4403
1679,1521
473,3130
1260,550
327,421
1027,2835
1017,786
268,296
120,1226
716,275
1450,3014
541,676
1279,2225
1207,3457
569,264
950,3827
1214,1686
769,2154
996,2860
228,187
1666,3317
1265,2567
990,2975
730,117
1765,3091
777,427
1337,420
788,2476
117,1897
1765,696
1057,396
357,169
717,3417
1249,1938
163,1186
708,117
941,1520
484,329
230,2670
1237,344
1036,50
865,900
126,1394
11,301
1200,1969
199,1916
483,58
1488,1707
816,1523
1246,548
98,1705
1170,1765
441,1698
112,1060
1610,899
392,3366
208,2597
547,280
1591,2278
1744,1068
834,2795
1209,4024
585,2731
149,1993
196,970
1582,3628
952,4302
1264,1336
1630,1644
877,917
191,1520
112,141
1688,4327
224,2674
1235,1903
828,796
597,3863
390,3360
1560,1351
765,111
984,107
1429,2748
937,545
1177,1346
1046,690
410,858
948,688
1706,1855
232,1645
1691,416
535,346
618,904
1782,1524
719,3515
1393,29
755,1133
1424,3647
1455,523
1369,82
865,3912
1523,964
223,345
271,369
640,3931
692,712
1509,2450
1377,32
1369,2851
1386,779
187,1310
862,1309
1342,1910
1544,397
302,3016
290,677
86,1221
123,1947
1142,1752
723,701
931,2999
828,1969
66,1297
465,322
1090,2464
1849,2043
1054,4373
160,2254
829,349
153,210
421,198
686,631
1038,329
896,3232
1790,1678
195,1438
664,1780
141,1792
1636,189
763,1299
1891,1795
935,1630
461,106
1561,1680
70,1116
1696,1426
329,499
573,1009
1184,1977
1695,127
985,650
576,2004
890,1949
1614,4221
289,1533
1676,117
1593,330
546,505
791,2392
28,183
962,3224
636,1655
910,4265
1182,1629
1882,182
1725,2410
1382,453
1017,1693
202,533
487,1885
1184,115
890,4213
1676,3790
267,541
414,561
1238,677
1276,1104
871,792
660,221
1885,1152
574,2166
271,2036
792,413
1575,4024
1562,3405
1862,2641
1032,3089
1404,3440
1550,3808
1498,492
1722,1728
847,1967
332,282
744,2762
1499,2578
811,790
699,2104
528,42
180,303
30,714
560,2866
586,258
1179,527
1645,337
600,3704
513,609
103,324
194,476
1804,324
1348,1800
978,300
427,94
621,2431
1252,1480
199,702
260,828
859,928
354,844
1854,4008
1307,1034
936,32
1427,486
1850,1252
1589,2865
110,454
1320,726
1129,718
1335,3061
400,2221
1716,1191
1048,1869
464,1932
315,1587
30,715
884,4033
1699,51
564,1435
1538,299
1187,181
484,637
1814,396
708,91
368,1159
586,1321
1378,3729
1363,996
1257,334
628,168
915,3914
212,719
1088,903
197,208
1111,2977
195,2453
44,188
726,703
660,3956
1430,1313
286,977
754,537
1737,523
1050,1318
1145,550
1809,4306
1018,127
1835,3980
1564,4382
1855,2122
210,105
85,1285
1607,2479
1314,2718
34,785
589,982
1293,1523
1061,523
146,241
740,3672
402,3403
844,3420
1135,829
796,58
1861,308
1046,1553
954,1941
241,2558
679,544
1292,731
1164,279
474,3434
1552,938
1067,153
1668,967
56,1099
1185,110
353,956
1330,1337
526,441
726,1337
1769,2794
709,1823
93,1662
434,1423
82,1528
1573,1958
1030,699
791,2175
384,678
1779,1113
1737,846
655,187
750,5
116,189
1358,2401
391,185
1166,345
1004,3633
715,4034
1502,1978
1677,3013
1565,604
579,1619
324,3122
1580,1110
1315,107
1288,726
1468,133
1205,1797
945,1253
25,402
586,433
375,2284
1543,544
1191,3704
1722,2394
1607,1629
66,248
326,217
1004,3531
883,1280
1569,372
779,71
1892,531
1262,250
556,2681
1741,1194
1428,4318
529,1524
1300,205
1881,2741
1686,3057
719,920
76,143
1015,490
842,445
1442,1253
401,55
1842,2122
1269,4333
1146,3255
901,2760
276,1520
250,625
837,1191
551,1924
457,745
1282,3000
953,664
1482,637
59,726
1749,3020
131,859
555,523
1757,824
1168,262
284,349
1273,545
822,325
573,3003
1739,4155
1702,3201
1436,624
1602,704
1107,21
491,231
491,310
597,1840
1191,732
37,845
1130,3581
988,820
926,1348
1248,461
1345,3308
259,2015
129,1895
1059,1837
1884,4485
491,779
523,930
986,1063
1615,296
588,2988
48,998
238,2746
1275,4446
363,325
1887,4371
1494,1780
761,182
1842,438
1885,1420
1308,587
967,3846
1444,2055
1579,263
256,1234
1760,2158
359,1065
184,320
1669,3007
1549,273
861,240
939,582
1544,2729
1365,1144
571,523
1806,4109
168,605
1701,2035
1717,1407
1219,1091
1777,177
431,438
89,1626
1820,1226
1089,1524
1451,346
1223,217
1855,1273
557,3541
977,2125
236,1381
778,4014
69,1344
844,599
1548,771
1388,1004
420,2359
1362,562
510,976
661,1698
532,1978
104,81
504,3012
130,219
1783,427
1127,3166
1011,276
1351,3684
1489,325
1850,1524
1753,613
1371,1932
954,345
112,386
891,372
1457,1072
1526,330
706,4026
131,1982
542,531
1053,3497
1816,81
1677,329
776,1524
18,468
1462,883
478,592
1277,99
184,2414
979,433
722,1907
640,1777
537,293
875,860
1104,1655
105,1533
954,310
164,2288
1802,732
1003,900
1065,3377
809,477
259,858
56,496
1316,3097
1248,3965
1758,938
1504,959
1387,1826
1892,20
822,235
1099,371
1129,1490
764,1860
1603,3501
1535,738
933,687
1087,2283
884,2221
1,67
1363,1635
529,610
1631,4240
823,990
567,677
1113,569
787,1605
773,47
804,87
14,371
1840,3261
742,515
71,325
532,2343
163,431
1586,483
957,186
313,996
104,848
1100,4394
1856,2176
1574,2470
1783,3543
1473,172
1305,449
163,300
883,408
1339,1718
494,727
1223,595
338,636
1215,2500
1859,1095
343,2631
288,816
1218,143
1361,719
1008,732
1059,513
493,297
837,349
652,2159
1816,452
1172,1300
1484,4403
26,643
543,2755
1178,824
621,2731
1145,4073
344,2181
708,1386
1348,1143
895,233
1445,2750
385,3354
1291,437
780,4011
1525,1063
26,667
699,419
763,1170
997,2756
1537,3271
1855,338
532,2699
1745,2858
365,1437
203,360
306,1629
776,1783
284,544
721,755
505,67
173,905
1339,1496
557,3376
1570,926
583,1210
1760,2980
1302,1159
1085,2278
146,1647
1071,2034
376,1010
348,820
1793,2658
911,1380
1815,1248
715,444
882,48
201,2569
1499,1619
713,827
41,922
1131,621
825,1325
267,893
1521,906
489,1522
545,525
25,627
1795,618
1664,859
1140,2008
1327,299
895,901
377,6
1382,1678
1758,734
1712,794
630,2541
505,1253
667,2413
1430,344
1702,2512
425,371
955,2607
109,1812
611,2406
423,267
1492,420
554,1599
378,1100
708,256
354,1265
282,1159
1849,1123
1313,3145
1404,441
1844,2420
771,2025
227,2325
169,1259
315,461
152,1810
1134,1527
1719,1123
1227,127
1494,4230
546,1723
31,396
488,2555
1815,1997
1179,510
1103,663
305,1383
542,313
1763,1245
134,2016
674,116
657,3707
1070,608
267,2911
712,97
1455,1238
567,2239
1008,117
920,4032
137,1635
355,518
196,1577
1710,1386
347,2517
554,948
1747,2100
845,2274
57,1110
11,322
994,372
628,656
1756,3910
1830,2797
1605,583
21,560
1324,1349
1050,1112
159,2237
1263,2255
959,499
1765,727
117,583
1441,382
1737,3490
583,884
1624,181
1683,3071
528,3701
971,3193
1037,2343
873,1463
1530,162
25,640
342,3182
1058,321
948,1049
601,1685
952,4303
1815,558
822,976
812,493
897,454
302,181
54,1076
1315,2050
1484,1656
509,704
27,678
1789,931
1022,3329
924,2116
555,3762
782,939
1313,1695
1459,1703
1186,187
460,839
1524,981
1744,2136
1118,660
529,14
1052,3613
926,1633
996,3091
818,275
171,2325
219,165
1658,1791
1876,3273
1319,192
1083,828
1361,1200
723,1536
169,2316
1499,893
50,310
561,3791
573,1005
1403,523
326,1235
1133,485
1570,3284
4,113
528,646
1696,4194
1331,2457
963,595
1591,1426
224,907
205,1316
1300,257
441,441
1775,3883
927,674
1550,576
1858,4475
1495,333
1433,895
1369,45
1773,735
841,2998
1687,547
1621,338
622,282
340,401
640,3733
180,2387
1287,684
449,282
1088,4229
777,1157
484,2086
226,2343
1353,1644
499,188
631,401
1569,1308
541,3721
1024,114
1536,32
218,1899
1072,1533
645,738
508,3653
1037,1157
1469,931
663,380
362,256
1758,231
470,1977
1014,749
821,4168
1593,1090
1238,1347
1488,964
1119,738
1820,416
238,2105
1876,263
154,189
764,1289
829,1334
1524,1576
261,517
1810,1413
840,2653
149,594
1397,102
1287,2111
1846,6
1307,962
1435,2210
651,1364
1184,2166
1481,94
1706,319
870,906
1388,1184
1847,47
1485,1190
1703,609
551,3754
799,338
870,128
1444,1066
1509,2937
590,1829
254,252
346,3207
133,50
1118,39
342,1225
1247,2486
1351,2925
765,4103
1801,2090
291,1960
485,1284
710,481
174,91
573,2272
1460,710
1018,1434
1609,418
32,758
159,1678
738,1923
1468,451
805,4156
1358,2805
1592,674
1281,3135
1090,924
1782,94
363,3165
1253,4162
1535,377
647,3937
1019,4197
368,2871
1219,3347
68,103
1704,461
1516,2854
104,1764
1488,4312
241,17
1369,63
337,917
1312,168
692,797
1246,2879
303,2159
1124,1015
1178,431
906,3555
1658,1044
149,1400
1637,1645
1513,1692
115,1888
685,1450
195,2519
221,1853
5,55
25,246
1819,571
1175,344
587,1629
117,1450
662,445
1541,92
1184,205
1222,3205
1802,1318
414,2390
81,445
805,3967
1348,917
331,335
1604,753
1350,9
358,1062
5,150
1788,613
241,872
1561,248
1354,2940
1105,3400
911,2361
1290,1709
1285,2111
1499,1312
800,2183
113,1352
223,1057
1872,895
3,94
67,1311
1668,828
939,674
1751,785
1209,249
517,1436
28,692
749,4081
464,2071
1875,899
192,2475
1219,284
63,300
1171,1482
1875,1118
1698,286
1370,2099
1467,3371
1437,2176
341,747
842,591
1099,1060
925,304
1409,1307
1230,2629
683,3185
1703,592
1562,42
292,228
209,370
1750,1624
678,1407
1127,2931
1001,211
1575,439
55,483
8,221
433,145
20,505
289,308
1577,4173
396,435
1259,1386
1256,1157
1313,416
1015,492
1346,1339
1307,1402
245,795
1353,39
811,1321
978,2142
1245,2110
1792,52
1876,4457
1433,531
262,2368
166,2214
873,3154
1332,2044
868,906
1545,637
560,1669
630,842
104,834
259,870
1828,2769
222,2666
1671,2206
694,3793
14,397
973,2433
313,599
52,202
714,1295
511,1719
1753,2231
238,1232
1175,1044
1868,2173
1767,3687
19,486
401,2931
973,41
1012,2934
1804,325
1270,1523
402,3402
927,32
292,1393
1823,2377
315,624
463,1340
101,1737
1367,342
8,223
1130,911
14,373
562,202
851,41
308,138
119,46
695,233
568,771
222,2662
1730,280
1015,3642
230,2695
1469,2143
341,2759
1420,1003
42,928
1796,1807
1467,3864
316,616
541,1232
1401,869
693,1305
1455,4288
615,203
956,299
1705,1068
363,1355
552,1675
1393,646
350,1118
1423,1362
1149,401
301,1544
615,3898
986,3687
1077,163
1715,618
1531,1310
902,3540
1202,1004
1165,3941
1438,2587
660,3958
479,621
657,3330
1238,3411
168,2310
1562,344
1073,794
1320,110
208,2343
1197,2286
1734,299
1820,3843
899,1678
713,87
1798,1232
168,2312
1237,2426
1724,281
1392,582
1120,477
1494,101
1357,6
1165,308
428,736
1253,42
43,182
1355,87
847,1196
1802,1572
1552,3965
1643,296
849,3398
554,797
271,2338
1135,4373
440,583
1442,3440
266,1829
396,3381
1298,143
214,223
795,2400
1260,1779
1166,3120
1325,416
1836,2310
1443,1523
1362,82
21,549
1667,55
1254,2528
445,198
334,339
295,1087
1648,2446
1264,542
1263,438
1858,1883
630,617
116,967
