user,pred_no_ns,ground_truth,common_items,common_len,gt_len,common_len/K,not_in_pred,not_in_pred_len,not_in_pred_len/K,not_in_gt,not_in_gt_len,not_in_gt_len/K,not_in_pred/GT,common_len/GT
1733,[ 417  784  292 1086 1221 1867 1526  495  593  218],"[218, 784, 1094, 182, 1221, 797, 1940, 4192, 208, 1817, 1866, 665, 1237, 402, 401]","[784, 218, 1221]",3,15,0.3,"[1094, 182, 797, 1940, 4192, 208, 1817, 1866, 665, 1237, 402, 401]",12,1.2,"[417, 292, 1086, 1867, 1526, 495, 593]",7,0.7,0.8,0.2
599,[1156 1361  324 1365 2787 1158 2053  220  614  636],"[3591, 3868, 3036, 2148, 3091, 940, 357, 1361]",[1361],1,8,0.1,"[3591, 3868, 3036, 2148, 3091, 940, 357]",7,0.7,"[1156, 324, 1365, 2787, 1158, 2053, 220, 614, 636]",9,0.9,0.875,0.125
245,[ 102 2115   10  315  508  609  744  833  845   80],"[315, 2683]",[315],1,2,0.1,[2683],1,0.1,"[102, 2115, 10, 508, 609, 744, 833, 845, 80]",9,0.9,0.5,0.5
282,[ 673  218  184  498  489 2455  336  341  402  589],"[334, 673, 2202, 409, 176, 2853]",[673],1,6,0.1,"[334, 2202, 409, 176, 2853]",5,0.5,"[218, 184, 498, 489, 2455, 336, 341, 402, 589]",9,0.9,0.8333333333333334,0.16666666666666666
38,[ 530  603 1812 1334  607  594 1009 1519  600  874],"[877, 839, 874, 532, 603, 608]","[874, 603]",2,6,0.2,"[877, 839, 532, 608]",4,0.4,"[530, 1812, 1334, 607, 594, 1009, 1519, 600]",8,0.8,0.6666666666666666,0.3333333333333333
1224,[1306  744  102  484 1718  532  794 1434 1025  511],"[126, 1540, 49, 28, 2675]",[],0,5,0.0,"[126, 1540, 49, 28, 2675]",5,0.5,"[1306, 744, 102, 484, 1718, 532, 794, 1434, 1025, 511]",10,1.0,1.0,0.0
1759,[ 257 1143 1150  431  828 3074  384 1158  548 2291],"[269, 257, 240, 2097, 1143, 2896, 1158]","[257, 1158, 1143]",3,7,0.3,"[269, 240, 2097, 2896]",4,0.4,"[1150, 431, 828, 3074, 384, 548, 2291]",7,0.7,0.5714285714285714,0.42857142857142855
1302,[723 343 823 937 543 248 993 430 329 438],"[910, 624, 125, 243, 3020, 1575]",[],0,6,0.0,"[910, 624, 125, 243, 3020, 1575]",6,0.6,"[723, 343, 823, 937, 543, 248, 993, 430, 329, 438]",10,1.0,1.0,0.0
434,[258 251 723 118 624 392 430 388 761 912],"[758, 906, 624, 1002, 994, 82, 898]",[624],1,7,0.1,"[758, 906, 1002, 994, 82, 898]",6,0.6,"[258, 251, 723, 118, 392, 430, 388, 761, 912]",9,0.9,0.8571428571428571,0.14285714285714285
1270,[253 384 388 115 252 126 393 124 545 109],"[1292, 124, 437, 390, 388, 119, 3690, 1567, 253, 545, 395, 127]","[388, 124, 253, 545]",4,12,0.4,"[1292, 437, 390, 119, 3690, 1567, 395, 127]",8,0.8,"[384, 115, 252, 126, 393, 109]",6,0.6,0.6666666666666666,0.3333333333333333
139,[167 415 182 169 966 420 975 184 197  98],"[65, 1825, 723, 685, 2065, 167, 249, 272]",[167],1,8,0.1,"[65, 1825, 723, 685, 2065, 249, 272]",7,0.7,"[415, 182, 169, 966, 420, 975, 184, 197, 98]",9,0.9,0.875,0.125
201,[ 511  299 2271  522  504  512 1056  319 1019 1471],"[808, 484, 1547, 1444, 1311, 630, 299, 2269, 319]","[299, 319]",2,9,0.2,"[808, 484, 1547, 1444, 1311, 630, 2269]",7,0.7,"[511, 2271, 522, 504, 512, 1056, 1019, 1471]",8,0.8,0.7777777777777778,0.2222222222222222
85,[1085  283  679  308  682  783  683  309  786  337],"[1086, 786, 230, 1574, 298]",[786],1,5,0.1,"[1086, 230, 1574, 298]",4,0.4,"[1085, 283, 679, 308, 682, 783, 683, 309, 337]",9,0.9,0.8,0.2
1726,[1056 1471 3347  160 1478 1844 3352 3998 1474  153],"[3998, 3347, 3059]","[3347, 3998]",2,3,0.2,[3059],1,0.1,"[1056, 1471, 160, 1478, 1844, 3352, 1474, 153]",8,0.8,0.3333333333333333,0.6666666666666666
278,[ 823  826  415  364  257  283 1630  453 3602 2669],"[137, 257, 117, 453, 2000]","[257, 453]",2,5,0.2,"[137, 117, 2000]",3,0.3,"[823, 826, 415, 364, 283, 1630, 3602, 2669]",8,0.8,0.6,0.4
713,[2110  384  937  717  392 2253  768  387 1489  245],"[387, 910, 118, 384, 2110, 2253, 1280]","[384, 387, 2253, 2110]",4,7,0.4,"[910, 118, 1280]",3,0.3,"[937, 717, 392, 768, 1489, 245]",6,0.6,0.42857142857142855,0.5714285714285714
1784,[ 903  910  758 2594 2221 2295 1259  400 1580  907],"[728, 722, 2163, 907, 3971, 329, 905, 4447, 63, 723]",[907],1,10,0.1,"[728, 722, 2163, 3971, 329, 905, 4447, 63, 723]",9,0.9,"[903, 910, 758, 2594, 2221, 2295, 1259, 400, 1580]",9,0.9,0.9,0.1
1719,[ 388 1284  252  253  386 2024 2253  258 1064  126],"[109, 3089, 769, 2024, 1634, 2239]",[2024],1,6,0.1,"[109, 3089, 769, 1634, 2239]",5,0.5,"[388, 1284, 252, 253, 386, 2253, 258, 1064, 126]",9,0.9,0.8333333333333334,0.16666666666666666
765,[ 381  826 1067 1634  348  437 2632  258  995  251],"[1690, 2428, 2024, 125]",[],0,4,0.0,"[1690, 2428, 2024, 125]",4,0.4,"[381, 826, 1067, 1634, 348, 437, 2632, 258, 995, 251]",10,1.0,1.0,0.0
120,[ 453 4202 3586 1929  105 3640 2673 2001 1995  976],"[319, 453, 1778, 1929, 1926, 448, 220, 308, 826, 450]","[1929, 453]",2,10,0.2,"[319, 1778, 1926, 448, 220, 308, 826, 450]",8,0.8,"[4202, 3586, 105, 3640, 2673, 2001, 1995, 976]",8,0.8,0.8,0.2
625,[ 899 1526 2342  682  828 2475 3239  436 1219 1449],"[975, 3845, 2121, 1033, 2293, 3912, 619, 1934, 2753, 2609, 432, 1092]",[],0,12,0.0,"[975, 3845, 2121, 1033, 2293, 3912, 619, 1934, 2753, 2609, 432, 1092]",12,1.2,"[899, 1526, 2342, 682, 828, 2475, 3239, 436, 1219, 1449]",10,1.0,1.0,0.0
1243,[ 338  337 1785  784  532 1221   90  309 1109  975],"[1221, 308, 614, 1393, 1219]",[1221],1,5,0.1,"[308, 614, 1393, 1219]",4,0.4,"[338, 337, 1785, 784, 532, 90, 309, 1109, 975]",9,0.9,0.8,0.2
1745,[323 308 482 504 303 784 337 793 319 777],"[482, 593, 1874, 1237, 504, 506, 1866, 325]","[504, 482]",2,8,0.2,"[593, 1874, 1237, 506, 1866, 325]",6,0.6,"[323, 308, 303, 784, 337, 793, 319, 777]",8,0.8,0.75,0.25
1606,[ 532  593 2535  616 1345  102 2114  312 3803 1879],"[2968, 2392, 1751, 1114, 331, 2175, 207, 1224]",[],0,8,0.0,"[2968, 2392, 1751, 1114, 331, 2175, 207, 1224]",8,0.8,"[532, 593, 2535, 616, 1345, 102, 2114, 312, 3803, 1879]",10,1.0,1.0,0.0
1093,[ 582  176  272  492  961  218 2166 1339 1094  583],"[1104, 2642, 1094, 2524, 1033, 2527, 1043, 272]","[272, 1094]",2,8,0.2,"[1104, 2642, 2524, 1033, 2527, 1043]",6,0.6,"[582, 176, 492, 961, 218, 2166, 1339, 583]",8,0.8,0.75,0.25
1434,[1577  440 1578 2211 1590  573 1594  966 1599  955],"[1590, 1809, 3045, 2144, 953, 966, 2211, 2215]","[2211, 966, 1590]",3,8,0.3,"[1809, 3045, 2144, 953, 2215]",5,0.5,"[1577, 440, 1578, 573, 1594, 1599, 955]",7,0.7,0.625,0.375
762,[ 323  430 2025   45 1410 1802  126  885  718  329],"[731, 4095, 2969, 3501]",[],0,4,0.0,"[731, 4095, 2969, 3501]",4,0.4,"[323, 430, 2025, 45, 1410, 1802, 126, 885, 718, 329]",10,1.0,1.0,0.0
1730,[ 393  110  141  823  543  136 1067  381  450 1073],"[1829, 2425, 437]",[],0,3,0.0,"[1829, 2425, 437]",3,0.3,"[393, 110, 141, 823, 543, 136, 1067, 381, 450, 1073]",10,1.0,1.0,0.0
1843,[ 388 1489  553  132  110  245  239  109  262 3379],"[369, 388, 245, 2630, 262, 355, 1122, 110, 617, 3833, 4024, 3109]","[110, 388, 245, 262]",4,12,0.4,"[369, 2630, 355, 1122, 617, 3833, 4024, 3109]",8,0.8,"[1489, 553, 132, 239, 109, 3379]",6,0.6,0.6666666666666666,0.3333333333333333
1203,[ 646  658   68   54 2374  641 1246   52  663   58],"[1603, 1655, 1652, 68, 663, 1654, 2811, 44, 1657, 641, 648]","[641, 68, 663]",3,11,0.3,"[1603, 1655, 1652, 1654, 2811, 44, 1657, 648]",8,0.8,"[646, 658, 54, 2374, 1246, 52, 58]",7,0.7,0.7272727272727273,0.2727272727272727
367,[ 431  436  257 1092  825 3174 2096 1161  256 2695],"[726, 3303, 2100, 1092]",[1092],1,4,0.1,"[726, 3303, 2100]",3,0.3,"[431, 436, 257, 825, 3174, 2096, 1161, 256, 2695]",9,0.9,0.75,0.25
1804,[  84    5  460  370 1247   81  266   41  989  855],"[3334, 474, 850, 2706, 1726, 2996, 426]",[],0,7,0.0,"[3334, 474, 850, 2706, 1726, 2996, 426]",7,0.7,"[84, 5, 460, 370, 1247, 81, 266, 41, 989, 855]",10,1.0,1.0,0.0
447,[2430 2758  543 2606 2755 3838 2071  923 3174  784],"[3536, 204, 2758, 2501]",[2758],1,4,0.1,"[3536, 204, 2501]",3,0.3,"[2430, 543, 2606, 2755, 3838, 2071, 923, 3174, 784]",9,0.9,0.75,0.25
210,[ 106  649  368 1634   68  437 1252  929 1244 1862],"[651, 379, 928, 437, 64, 106]","[106, 437]",2,6,0.2,"[651, 379, 928, 64]",4,0.4,"[649, 368, 1634, 68, 1252, 929, 1244, 1862]",8,0.8,0.6666666666666666,0.3333333333333333
437,[ 447   95   48  105  929 1702 2791  577  828 2673],"[1156, 973, 735, 3512, 3513, 2790, 1249]",[],0,7,0.0,"[1156, 973, 735, 3512, 3513, 2790, 1249]",7,0.7,"[447, 95, 48, 105, 929, 1702, 2791, 577, 828, 2673]",10,1.0,1.0,0.0
978,[1580  181  975  171  582  167  342  948  402  204],"[1580, 2091, 1893, 3174, 825]",[1580],1,5,0.1,"[2091, 1893, 3174, 825]",4,0.4,"[181, 975, 171, 582, 167, 342, 948, 402, 204]",9,0.9,0.8,0.2
1863,[ 518  501 2433 2804 1672  509 1906  523  513 3396],"[1685, 316, 4440, 3054, 3094, 511, 2398, 473]",[],0,8,0.0,"[1685, 316, 4440, 3054, 3094, 511, 2398, 473]",8,0.8,"[518, 501, 2433, 2804, 1672, 509, 1906, 523, 513, 3396]",10,1.0,1.0,0.0
353,[ 613  892 1519  893  609 1754  616 1009 2886 1004],"[1176, 2886, 878, 1004, 3246]","[1004, 2886]",2,5,0.2,"[1176, 878, 3246]",3,0.3,"[613, 892, 1519, 893, 609, 1754, 616, 1009]",8,0.8,0.6,0.4
464,[1014  297 2853  315 1111 3031    1   90 1982   81],"[731, 3573, 861, 1369, 324, 327, 2830, 11]",[],0,8,0.0,"[731, 3573, 861, 1369, 324, 327, 2830, 11]",8,0.8,"[1014, 297, 2853, 315, 1111, 3031, 1, 90, 1982, 81]",10,1.0,1.0,0.0
1249,[ 298  778  685  302  307  900 2342  682  308  299],"[1905, 204, 828, 2121, 753, 778]",[778],1,6,0.1,"[1905, 204, 828, 2121, 753]",5,0.5,"[298, 685, 302, 307, 900, 2342, 682, 308, 299]",9,0.9,0.8333333333333334,0.16666666666666666
34,[ 832  372  547 2938 1959  544  440 1014 1608  110],"[816, 820, 359]",[],0,3,0.0,"[816, 820, 359]",3,0.3,"[832, 372, 547, 2938, 1959, 544, 440, 1014, 1608, 110]",10,1.0,1.0,0.0
1803,[ 616  309  892  612 2271  299  511 1758  540  318],"[298, 2230, 3174, 1428, 609, 433, 540]",[540],1,7,0.1,"[298, 2230, 3174, 1428, 609, 433]",6,0.6,"[616, 309, 892, 612, 2271, 299, 511, 1758, 318]",9,0.9,0.8571428571428571,0.14285714285714285
1561,[1270  338  334 1995  655  926  210  226 1393  209],"[778, 793, 512, 245, 4, 2085]",[],0,6,0.0,"[778, 793, 512, 245, 4, 2085]",6,0.6,"[1270, 338, 334, 1995, 655, 926, 210, 226, 1393, 209]",10,1.0,1.0,0.0
190,[ 876  446 1875  532 1520  612  892  502    8  526],"[603, 807, 1324, 1518, 1760, 2464, 2462, 1265, 374, 532]",[532],1,10,0.1,"[603, 807, 1324, 1518, 1760, 2464, 2462, 1265, 374]",9,0.9,"[876, 446, 1875, 1520, 612, 892, 502, 8, 526]",9,0.9,0.9,0.1
260,[ 794 1695  512 2469  518 2399 1466 1462 1019 1468],"[2872, 2582, 2746, 794]",[794],1,4,0.1,"[2872, 2582, 2746]",3,0.3,"[1695, 512, 2469, 518, 2399, 1466, 1462, 1019, 1468]",9,0.9,0.75,0.25
472,[681 328 674 182 827 685 482 338 682 783],"[1522, 1182, 1094, 297, 1089, 3580]",[],0,6,0.0,"[1522, 1182, 1094, 297, 1089, 3580]",6,0.6,"[681, 328, 674, 182, 827, 685, 482, 338, 682, 783]",10,1.0,1.0,0.0
1477,[1489  388  126 2024 1996  249  371  109 2033 1634],"[246, 1645, 1630, 2020]",[],0,4,0.0,"[246, 1645, 1630, 2020]",4,0.4,"[1489, 388, 126, 2024, 1996, 249, 371, 109, 2033, 1634]",10,1.0,1.0,0.0
1419,[ 249  997  242  624  635 1921  543 1410  827  248],"[247, 2071, 4318, 997, 113, 828, 1193, 248]","[248, 997]",2,8,0.2,"[247, 2071, 4318, 113, 828, 1193]",6,0.6,"[249, 242, 624, 635, 1921, 543, 1410, 827]",8,0.8,0.75,0.25
361,[1385 2165  164 2277  430  426  161  135 3272 3683],"[1045, 152, 925, 1628, 135, 3272, 1385]","[3272, 1385, 135]",3,7,0.3,"[1045, 152, 925, 1628]",4,0.4,"[2165, 164, 2277, 430, 426, 161, 3683]",7,0.7,0.5714285714285714,0.42857142857142855
331,[ 962  180  672  274  187  181  333 2644  164 2643],"[344, 1276, 2061, 164, 146]",[164],1,5,0.1,"[344, 1276, 2061, 146]",4,0.4,"[962, 180, 672, 274, 187, 181, 333, 2644, 2643]",9,0.9,0.8,0.2
1145,[ 298  338  313  324   93  784  522  711  446 1632],"[337, 312, 2121, 4254, 1526, 338]",[338],1,6,0.1,"[337, 312, 2121, 4254, 1526]",5,0.5,"[298, 313, 324, 93, 784, 522, 711, 446, 1632]",9,0.9,0.8333333333333334,0.16666666666666666
977,[ 923  504  803 1306 2013 2104 2071  216  309  442],"[2071, 2133, 504, 1193, 372, 4163, 216, 923, 4071, 3884]","[504, 923, 216, 2071]",4,10,0.4,"[2133, 1193, 372, 4163, 4071, 3884]",6,0.6,"[803, 1306, 2013, 2104, 309, 442]",6,0.6,0.6,0.4
1563,[ 392  460   38  382  388   40 1199  437 1130  126],"[37, 1703, 2964, 1304, 1634, 3391, 3480]",[],0,7,0.0,"[37, 1703, 2964, 1304, 1634, 3391, 3480]",7,0.7,"[392, 460, 38, 382, 388, 40, 1199, 437, 1130, 126]",10,1.0,1.0,0.0
4,[ 135  142  587  148   48  152 1450   95 1056 2569],"[142, 152, 143, 145, 138, 158, 159, 148, 160, 155, 135, 140, 162, 150, 136, 163, 134]","[152, 148, 142, 135]",4,17,0.4,"[143, 145, 138, 158, 159, 160, 155, 140, 162, 150, 136, 163, 134]",13,1.3,"[587, 48, 1450, 95, 1056, 2569]",6,0.6,0.7647058823529411,0.23529411764705882
536,[2765  337 1092 2753  309  341  308  685  257  797],"[310, 225, 2753, 337, 1237, 3183, 607]","[337, 2753]",2,7,0.2,"[310, 225, 1237, 3183, 607]",5,0.5,"[2765, 1092, 309, 341, 308, 685, 257, 797]",8,0.8,0.7142857142857143,0.2857142857142857
972,[ 141  393  346  545  136  126 1967  546  804  127],"[620, 1292, 4169, 376, 545, 2134, 2131, 1067, 3379]",[545],1,9,0.1,"[620, 1292, 4169, 376, 2134, 2131, 1067, 3379]",8,0.8,"[141, 393, 346, 136, 126, 1967, 546, 804, 127]",9,0.9,0.8888888888888888,0.1111111111111111
1395,[ 793  778  673  292  779  313  324  338  307 1221],"[1873, 232, 97, 793, 1931, 788, 300]",[793],1,7,0.1,"[1873, 232, 97, 1931, 788, 300]",6,0.6,"[778, 673, 292, 779, 313, 324, 338, 307, 1221]",9,0.9,0.8571428571428571,0.14285714285714285
458,[ 341  334  329 1385 2853   90 1322  446 1109 2366],"[680, 90]",[90],1,2,0.1,[680],1,0.1,"[341, 334, 329, 1385, 2853, 1322, 446, 1109, 2366]",9,0.9,0.5,0.5
1039,[ 655  335 2300  151   98  976 2053  945  168  491],"[486, 278, 1550, 655, 1775, 3641, 151]","[151, 655]",2,7,0.2,"[486, 278, 1550, 1775, 3641]",5,0.5,"[335, 2300, 98, 976, 2053, 945, 168, 491]",8,0.8,0.7142857142857143,0.2857142857142857
668,[ 338 1823  504  309  786  783  778 1019  298  302],"[2220, 1019, 2331, 338, 516, 304, 1823, 790, 504, 3727]","[504, 338, 1019, 1823]",4,10,0.4,"[2220, 2331, 516, 304, 790, 3727]",6,0.6,"[309, 786, 783, 778, 298, 302]",6,0.6,0.6,0.4
1097,[ 645 1252   53 1117   47   67  647  736 2303  125],"[762, 3414, 67, 2554, 2148, 368, 2600, 648, 1096, 1189]",[67],1,10,0.1,"[762, 3414, 2554, 2148, 368, 2600, 648, 1096, 1189]",9,0.9,"[645, 1252, 53, 1117, 47, 647, 736, 2303, 125]",9,0.9,0.9,0.1
1813,[ 248  823  118 1416  937  906  261  249 2088  109],"[1156, 687, 4050]",[],0,3,0.0,"[1156, 687, 4050]",3,0.3,"[248, 823, 118, 1416, 937, 906, 261, 249, 2088, 109]",10,1.0,1.0,0.0
1885,[ 448  393  348  890  452 1481 1809  939 1523 1842],"[450, 1809, 2307, 4039, 448, 3696, 444, 1835, 939]","[448, 1809, 939]",3,9,0.3,"[450, 2307, 4039, 3696, 444, 1835]",6,0.6,"[393, 348, 890, 452, 1481, 1523, 1842]",7,0.7,0.6666666666666666,0.3333333333333333
467,[  93  892  101  106  444 1193  297  530  593   67],"[673, 327, 2572, 1107, 892, 3057, 1956, 3574, 2853]",[892],1,9,0.1,"[673, 327, 2572, 1107, 3057, 1956, 3574, 2853]",8,0.8,"[93, 101, 106, 444, 1193, 297, 530, 593, 67]",9,0.9,0.8888888888888888,0.1111111111111111
1418,[ 176  181  164  587  272  201 1393  167  275  188],"[164, 1790, 1094, 419, 177]",[164],1,5,0.1,"[1790, 1094, 419, 177]",4,0.4,"[176, 181, 587, 272, 201, 1393, 167, 275, 188]",9,0.9,0.8,0.2
1009,[1117  856  694  443  861 2391  561 1955  101   22],"[3649, 1117, 118, 86, 854, 3619]",[1117],1,6,0.1,"[3649, 118, 86, 854, 3619]",5,0.5,"[856, 694, 443, 861, 2391, 561, 1955, 101, 22]",9,0.9,0.8333333333333334,0.16666666666666666
1378,[1790  272 1047  966  218 1043  274  167  279 2548],"[1093, 274, 176, 218]","[218, 274]",2,4,0.2,"[1093, 176]",2,0.2,"[1790, 272, 1047, 966, 1043, 167, 279, 2548]",8,0.8,0.5,0.5
205,[ 545 2135  452  540  248 1608  734  372  549  617],"[1540, 1608, 745, 123, 1258]",[1608],1,5,0.1,"[1540, 745, 123, 1258]",4,0.4,"[545, 2135, 452, 540, 248, 734, 372, 549, 617]",9,0.9,0.8,0.2
200,[ 884  592  890 3250  612  729  530 2120 2561  614],"[884, 1327, 2561, 2563]","[2561, 884]",2,4,0.2,"[1327, 2563]",2,0.2,"[592, 890, 3250, 612, 729, 530, 2120, 614]",8,0.8,0.5,0.5
1888,[ 125  381  731  989  348  543  703  242  251 2558],"[3325, 2367, 313, 86, 117, 3648, 717, 437, 703, 989]","[989, 703]",2,10,0.2,"[3325, 2367, 313, 86, 117, 3648, 717, 437]",8,0.8,"[125, 381, 731, 348, 543, 242, 251, 2558]",8,0.8,0.8,0.2
844,[1023 2609 2570 1306 2698 1092  620 2753 3038 2291],"[1450, 529, 2464, 918, 1311, 1471, 1092, 1823, 3042, 2287, 372]",[1092],1,11,0.1,"[1450, 529, 2464, 918, 1311, 1471, 1823, 3042, 2287, 372]",10,1.0,"[1023, 2609, 2570, 1306, 2698, 620, 2753, 3038, 2291]",9,0.9,0.9090909090909091,0.09090909090909091
134,[ 131  395 2110 2253  126  253  114  392  258 1426],"[2021, 75, 250, 1286]",[],0,4,0.0,"[2021, 75, 250, 1286]",4,0.4,"[131, 395, 2110, 2253, 126, 253, 114, 392, 258, 1426]",10,1.0,1.0,0.0
1257,[ 681  341  343  495  672  339  329 1995 1628  328],"[683, 343, 672, 3637, 1780, 1995]","[672, 1995, 343]",3,6,0.3,"[683, 3637, 1780]",3,0.3,"[681, 341, 495, 339, 329, 1628, 328]",7,0.7,0.5,0.5
1132,[  80  718   86  323 1522  593  540  444 1306  532],"[1811, 534, 890, 2352, 2152, 3879, 993, 590]",[],0,8,0.0,"[1811, 534, 890, 2352, 2152, 3879, 993, 590]",8,0.8,"[80, 718, 86, 323, 1522, 593, 540, 444, 1306, 532]",10,1.0,1.0,0.0
1617,[ 187  281  330 4478 3351 3707 3706 2060 1477  161],"[2059, 3351, 3251, 919, 946, 4478, 187, 141, 3706]","[3706, 187, 4478, 3351]",4,9,0.4,"[2059, 3251, 919, 946, 141]",5,0.5,"[281, 330, 3707, 2060, 1477, 161]",6,0.6,0.5555555555555556,0.4444444444444444
1198,[ 438 1522  828  543  624  910 1410  923  242  824],"[125, 624, 2151, 993, 1828]",[624],1,5,0.1,"[125, 2151, 993, 1828]",4,0.4,"[438, 1522, 828, 543, 910, 1410, 923, 242, 824]",9,0.9,0.8,0.2
777,[1199 2768 1748 1741 1730  457 1430 1105  478  371],"[2110, 1794, 4117, 75]",[],0,4,0.0,"[2110, 1794, 4117, 75]",4,0.4,"[1199, 2768, 1748, 1741, 1730, 457, 1430, 1105, 478, 371]",10,1.0,1.0,0.0
