user,pred_ns,ground_truth,common_items,common_len,gt_len,common_len/K,not_in_pred,not_in_pred_len,not_in_pred_len/K,not_in_gt,not_in_gt_len,not_in_gt_len/K,not_in_pred/GT,common_len/GT
823,[2427  162  343 2884 3211 3729  932 3802  657 1819],"[736, 93, 1182, 3478, 2408, 1525, 1189, 1901]",[],0,8,0.0,"[736, 93, 1182, 3478, 2408, 1525, 1189, 1901]",8,0.8,"[2427, 162, 343, 2884, 3211, 3729, 932, 3802, 657, 1819]",10,1.0,1.0,0.0
1368,[2303 2763 1366 4043 3650 1014 3412 3541 2975  103],"[537, 90, 2303, 560, 1955, 2040, 3006, 2451, 1247]",[2303],1,9,0.1,"[537, 90, 560, 1955, 2040, 3006, 2451, 1247]",8,0.8,"[2763, 1366, 4043, 3650, 1014, 3412, 3541, 2975, 103]",9,0.9,0.8888888888888888,0.1111111111111111
550,[2719 1479 4033 3116 1906  251 2994 1868 3310 4416],"[495, 167, 2613, 489, 962, 1598, 3148]",[],0,7,0.0,"[495, 167, 2613, 489, 962, 1598, 3148]",7,0.7,"[2719, 1479, 4033, 3116, 1906, 251, 2994, 1868, 3310, 4416]",10,1.0,1.0,0.0
101,[3893 1681 1652 4474  764 2379 3851 3913 1932 3410],"[1747, 276, 1744, 1749, 1751, 1748, 1745]",[],0,7,0.0,"[1747, 276, 1744, 1749, 1751, 1748, 1745]",7,0.7,"[3893, 1681, 1652, 4474, 764, 2379, 3851, 3913, 1932, 3410]",10,1.0,1.0,0.0
272,[3523 3704 2965  964 1652 2409  569 1440  298 3029],"[374, 2940, 2722, 562, 726, 927, 2935, 2423]",[],0,8,0.0,"[374, 2940, 2722, 562, 726, 927, 2935, 2423]",8,0.8,"[3523, 3704, 2965, 964, 1652, 2409, 569, 1440, 298, 3029]",10,1.0,1.0,0.0
1154,[1588 3006 4033   61 1545 1742  514 3109 3341 2814],"[2142, 737]",[],0,2,0.0,"[2142, 737]",2,0.2,"[1588, 3006, 4033, 61, 1545, 1742, 514, 3109, 3341, 2814]",10,1.0,1.0,0.0
1554,[2756 2268  858  928 1471 3345 2332 3840 3614  977],"[460, 737]",[],0,2,0.0,"[460, 737]",2,0.2,"[2756, 2268, 858, 928, 1471, 3345, 2332, 3840, 3614, 977]",10,1.0,1.0,0.0
666,[1965 2941 4137 1790  335 4229 1531 3876 1866 1410],"[707, 2304, 548]",[],0,3,0.0,"[707, 2304, 548]",3,0.3,"[1965, 2941, 4137, 1790, 335, 4229, 1531, 3876, 1866, 1410]",10,1.0,1.0,0.0
1651,[1006 1804 1854 2517  850 2124  276 2530 1179 1549],"[271, 2204, 164, 582, 181, 1040, 275]",[],0,7,0.0,"[271, 2204, 164, 582, 181, 1040, 275]",7,0.7,"[1006, 1804, 1854, 2517, 850, 2124, 276, 2530, 1179, 1549]",10,1.0,1.0,0.0
1733,[4467    5 3243  681 2377 3431 1152 3906 3864 4386],"[218, 784, 1094, 182, 1221, 797, 1940, 4192, 208, 1817, 1866, 665, 1237, 402, 401]",[],0,15,0.0,"[218, 784, 1094, 182, 1221, 797, 1940, 4192, 208, 1817, 1866, 665, 1237, 402, 401]",15,1.5,"[4467, 5, 3243, 681, 2377, 3431, 1152, 3906, 3864, 4386]",10,1.0,1.0,0.0
599,[ 987 1165 2489  989 3422 3705 3500  464  804 1668],"[3591, 3868, 3036, 2148, 3091, 940, 357, 1361]",[],0,8,0.0,"[3591, 3868, 3036, 2148, 3091, 940, 357, 1361]",8,0.8,"[987, 1165, 2489, 989, 3422, 3705, 3500, 464, 804, 1668]",10,1.0,1.0,0.0
245,[2509 4357 1883 4460 2779 1615 2114  646 1854 1432],"[315, 2683]",[],0,2,0.0,"[315, 2683]",2,0.2,"[2509, 4357, 1883, 4460, 2779, 1615, 2114, 646, 1854, 1432]",10,1.0,1.0,0.0
282,[1704 2782  941 1843 3760 3108 2325 4300 3577 1422],"[334, 673, 2202, 409, 176, 2853]",[],0,6,0.0,"[334, 673, 2202, 409, 176, 2853]",6,0.6,"[1704, 2782, 941, 1843, 3760, 3108, 2325, 4300, 3577, 1422]",10,1.0,1.0,0.0
38,[2178 1772 1819 3486 2585  990 3029 4449 3973 2423],"[877, 839, 874, 532, 603, 608]",[],0,6,0.0,"[877, 839, 874, 532, 603, 608]",6,0.6,"[2178, 1772, 1819, 3486, 2585, 990, 3029, 4449, 3973, 2423]",10,1.0,1.0,0.0
1224,[2108 2020 3632 1515 3048 4377 1334 1632 4416 3415],"[126, 1540, 49, 28, 2675]",[],0,5,0.0,"[126, 1540, 49, 28, 2675]",5,0.5,"[2108, 2020, 3632, 1515, 3048, 4377, 1334, 1632, 4416, 3415]",10,1.0,1.0,0.0
1759,[4001 1645  905 2738 1799  815 2376 3906 1972 1423],"[269, 257, 240, 2097, 1143, 2896, 1158]",[],0,7,0.0,"[269, 257, 240, 2097, 1143, 2896, 1158]",7,0.7,"[4001, 1645, 905, 2738, 1799, 815, 2376, 3906, 1972, 1423]",10,1.0,1.0,0.0
1302,[ 289  229 1633  803 3372 2062  781 3280 2763 3723],"[910, 624, 125, 243, 3020, 1575]",[],0,6,0.0,"[910, 624, 125, 243, 3020, 1575]",6,0.6,"[289, 229, 1633, 803, 3372, 2062, 781, 3280, 2763, 3723]",10,1.0,1.0,0.0
434,[ 131 3736  634 3413 2405 3792 1549 1307 2111 1815],"[758, 906, 624, 1002, 994, 82, 898]",[],0,7,0.0,"[758, 906, 624, 1002, 994, 82, 898]",7,0.7,"[131, 3736, 634, 3413, 2405, 3792, 1549, 1307, 2111, 1815]",10,1.0,1.0,0.0
1270,[3050 3051 1600 2295 3968 2966 2693   61 1249 2760],"[1292, 124, 437, 390, 388, 119, 3690, 1567, 253, 545, 395, 127]",[],0,12,0.0,"[1292, 124, 437, 390, 388, 119, 3690, 1567, 253, 545, 395, 127]",12,1.2,"[3050, 3051, 1600, 2295, 3968, 2966, 2693, 61, 1249, 2760]",10,1.0,1.0,0.0
139,[2703 2723 3901  749 1226 1806 4430 2640 2183 4080],"[65, 1825, 723, 685, 2065, 167, 249, 272]",[],0,8,0.0,"[65, 1825, 723, 685, 2065, 167, 249, 272]",8,0.8,"[2703, 2723, 3901, 749, 1226, 1806, 4430, 2640, 2183, 4080]",10,1.0,1.0,0.0
201,[ 893 4236 4183  113 2606 4026  282 1559 1681   12],"[808, 484, 1547, 1444, 1311, 630, 299, 2269, 319]",[],0,9,0.0,"[808, 484, 1547, 1444, 1311, 630, 299, 2269, 319]",9,0.9,"[893, 4236, 4183, 113, 2606, 4026, 282, 1559, 1681, 12]",10,1.0,1.0,0.0
85,[2474  206  424 4230 2907 3906  203  858 1294 2781],"[1086, 786, 230, 1574, 298]",[],0,5,0.0,"[1086, 786, 230, 1574, 298]",5,0.5,"[2474, 206, 424, 4230, 2907, 3906, 203, 858, 1294, 2781]",10,1.0,1.0,0.0
1726,[2571 2143 1122 4005 3051  716 1622 2984 3023 1419],"[3998, 3347, 3059]",[],0,3,0.0,"[3998, 3347, 3059]",3,0.3,"[2571, 2143, 1122, 4005, 3051, 716, 1622, 2984, 3023, 1419]",10,1.0,1.0,0.0
278,[ 353  386 2495 3139 1264 1448  700 2249 1834 1174],"[137, 257, 117, 453, 2000]",[],0,5,0.0,"[137, 257, 117, 453, 2000]",5,0.5,"[353, 386, 2495, 3139, 1264, 1448, 700, 2249, 1834, 1174]",10,1.0,1.0,0.0
713,[1240 4438 2872 3926 1082 1083 1075 2082  414 1298],"[387, 910, 118, 384, 2110, 2253, 1280]",[],0,7,0.0,"[387, 910, 118, 384, 2110, 2253, 1280]",7,0.7,"[1240, 4438, 2872, 3926, 1082, 1083, 1075, 2082, 414, 1298]",10,1.0,1.0,0.0
1784,[4389 3606  499  113 4432 1708  135 3963 4407 2904],"[728, 722, 2163, 907, 3971, 329, 905, 4447, 63, 723]",[],0,10,0.0,"[728, 722, 2163, 907, 3971, 329, 905, 4447, 63, 723]",10,1.0,"[4389, 3606, 499, 113, 4432, 1708, 135, 3963, 4407, 2904]",10,1.0,1.0,0.0
1719,[ 696 4152 4389 1953 2387 4281 3736 4307 3408 3641],"[109, 3089, 769, 2024, 1634, 2239]",[],0,6,0.0,"[109, 3089, 769, 2024, 1634, 2239]",6,0.6,"[696, 4152, 4389, 1953, 2387, 4281, 3736, 4307, 3408, 3641]",10,1.0,1.0,0.0
765,[3773  890 1569 2819  809 4178 2412 4480  672  275],"[1690, 2428, 2024, 125]",[],0,4,0.0,"[1690, 2428, 2024, 125]",4,0.4,"[3773, 890, 1569, 2819, 809, 4178, 2412, 4480, 672, 275]",10,1.0,1.0,0.0
120,[3893 2945 3260 4435 3023 4475  757 2637  989 2106],"[319, 453, 1778, 1929, 1926, 448, 220, 308, 826, 450]",[],0,10,0.0,"[319, 453, 1778, 1929, 1926, 448, 220, 308, 826, 450]",10,1.0,"[3893, 2945, 3260, 4435, 3023, 4475, 757, 2637, 989, 2106]",10,1.0,1.0,0.0
625,[1906 2342 1628 1870 1025 3672 2645 4262  455 3358],"[975, 3845, 2121, 1033, 2293, 3912, 619, 1934, 2753, 2609, 432, 1092]",[],0,12,0.0,"[975, 3845, 2121, 1033, 2293, 3912, 619, 1934, 2753, 2609, 432, 1092]",12,1.2,"[1906, 2342, 1628, 1870, 1025, 3672, 2645, 4262, 455, 3358]",10,1.0,1.0,0.0
1243,[4485 2951 4307 3006  344 2603 2755  484 3051 1082],"[1221, 308, 614, 1393, 1219]",[],0,5,0.0,"[1221, 308, 614, 1393, 1219]",5,0.5,"[4485, 2951, 4307, 3006, 344, 2603, 2755, 484, 3051, 1082]",10,1.0,1.0,0.0
1745,[1991 1748 2234 4039 1246 2261 1092 4325 1692 4303],"[482, 593, 1874, 1237, 504, 506, 1866, 325]",[],0,8,0.0,"[482, 593, 1874, 1237, 504, 506, 1866, 325]",8,0.8,"[1991, 1748, 2234, 4039, 1246, 2261, 1092, 4325, 1692, 4303]",10,1.0,1.0,0.0
1606,[3887 3080 2959 3650 4096   24 2325 1272 1454 1083],"[2968, 2392, 1751, 1114, 331, 2175, 207, 1224]",[],0,8,0.0,"[2968, 2392, 1751, 1114, 331, 2175, 207, 1224]",8,0.8,"[3887, 3080, 2959, 3650, 4096, 24, 2325, 1272, 1454, 1083]",10,1.0,1.0,0.0
1093,[3427 4278 1399  443 1986 1712 3886 1896 1307 4272],"[1104, 2642, 1094, 2524, 1033, 2527, 1043, 272]",[],0,8,0.0,"[1104, 2642, 1094, 2524, 1033, 2527, 1043, 272]",8,0.8,"[3427, 4278, 1399, 443, 1986, 1712, 3886, 1896, 1307, 4272]",10,1.0,1.0,0.0
1434,[3420  971 1664 3911 2585 3776  350 2669  990 1156],"[1590, 1809, 3045, 2144, 953, 966, 2211, 2215]",[],0,8,0.0,"[1590, 1809, 3045, 2144, 953, 966, 2211, 2215]",8,0.8,"[3420, 971, 1664, 3911, 2585, 3776, 350, 2669, 990, 1156]",10,1.0,1.0,0.0
762,[3887 1387 3468 1782 3930  571 4049  854 1379 3872],"[731, 4095, 2969, 3501]",[],0,4,0.0,"[731, 4095, 2969, 3501]",4,0.4,"[3887, 1387, 3468, 1782, 3930, 571, 4049, 854, 1379, 3872]",10,1.0,1.0,0.0
1730,[2355 1272 1615  461 4032 2023 3944 1242 3976 3914],"[1829, 2425, 437]",[],0,3,0.0,"[1829, 2425, 437]",3,0.3,"[2355, 1272, 1615, 461, 4032, 2023, 3944, 1242, 3976, 3914]",10,1.0,1.0,0.0
1843,[1588 3911 1207 4280 3837 4296  120 3097  126  347],"[369, 388, 245, 2630, 262, 355, 1122, 110, 617, 3833, 4024, 3109]",[],0,12,0.0,"[369, 388, 245, 2630, 262, 355, 1122, 110, 617, 3833, 4024, 3109]",12,1.2,"[1588, 3911, 1207, 4280, 3837, 4296, 120, 3097, 126, 347]",10,1.0,1.0,0.0
1203,[1588 4397  218  256 3414 2216 3865 2634 2915  632],"[1603, 1655, 1652, 68, 663, 1654, 2811, 44, 1657, 641, 648]",[],0,11,0.0,"[1603, 1655, 1652, 68, 663, 1654, 2811, 44, 1657, 641, 648]",11,1.1,"[1588, 4397, 218, 256, 3414, 2216, 3865, 2634, 2915, 632]",10,1.0,1.0,0.0
367,[4393 1967 4183 4047  895 1779 4032  728 4070 3882],"[726, 3303, 2100, 1092]",[],0,4,0.0,"[726, 3303, 2100, 1092]",4,0.4,"[4393, 1967, 4183, 4047, 895, 1779, 4032, 728, 4070, 3882]",10,1.0,1.0,0.0
1804,[ 399 1399 1758 1218 4013 3097 4142  392  110 3010],"[3334, 474, 850, 2706, 1726, 2996, 426]",[],0,7,0.0,"[3334, 474, 850, 2706, 1726, 2996, 426]",7,0.7,"[399, 1399, 1758, 1218, 4013, 3097, 4142, 392, 110, 3010]",10,1.0,1.0,0.0
447,[ 287 2787 3412 4214 3047  919 2989 2053 1517 4069],"[3536, 204, 2758, 2501]",[],0,4,0.0,"[3536, 204, 2758, 2501]",4,0.4,"[287, 2787, 3412, 4214, 3047, 919, 2989, 2053, 1517, 4069]",10,1.0,1.0,0.0
210,[ 149  544 2896 2624 4425 3773 2923 4353 1535 2752],"[651, 379, 928, 437, 64, 106]",[],0,6,0.0,"[651, 379, 928, 437, 64, 106]",6,0.6,"[149, 544, 2896, 2624, 4425, 3773, 2923, 4353, 1535, 2752]",10,1.0,1.0,0.0
437,[1106 1646 4179  302  183  148 3105 3110 2428 3456],"[1156, 973, 735, 3512, 3513, 2790, 1249]",[],0,7,0.0,"[1156, 973, 735, 3512, 3513, 2790, 1249]",7,0.7,"[1106, 1646, 4179, 302, 183, 148, 3105, 3110, 2428, 3456]",10,1.0,1.0,0.0
978,[1967 3312 3233 2306 3101 3837 3822 2174 3090 2528],"[1580, 2091, 1893, 3174, 825]",[],0,5,0.0,"[1580, 2091, 1893, 3174, 825]",5,0.5,"[1967, 3312, 3233, 2306, 3101, 3837, 3822, 2174, 3090, 2528]",10,1.0,1.0,0.0
1863,[3829  424 4393 1960 3405 1828  736  914 3812  637],"[1685, 316, 4440, 3054, 3094, 511, 2398, 473]",[],0,8,0.0,"[1685, 316, 4440, 3054, 3094, 511, 2398, 473]",8,0.8,"[3829, 424, 4393, 1960, 3405, 1828, 736, 914, 3812, 637]",10,1.0,1.0,0.0
353,[3887 1702 3900  365 1272 1534  967  898 2324  863],"[1176, 2886, 878, 1004, 3246]",[],0,5,0.0,"[1176, 2886, 878, 1004, 3246]",5,0.5,"[3887, 1702, 3900, 365, 1272, 1534, 967, 898, 2324, 863]",10,1.0,1.0,0.0
464,[ 368 2886 3576 4093  679  131 1498 1605 4160 3345],"[731, 3573, 861, 1369, 324, 327, 2830, 11]",[],0,8,0.0,"[731, 3573, 861, 1369, 324, 327, 2830, 11]",8,0.8,"[368, 2886, 3576, 4093, 679, 131, 1498, 1605, 4160, 3345]",10,1.0,1.0,0.0
1249,[1592  623 2555  639 2745 2541 4024 2295 2834 4352],"[1905, 204, 828, 2121, 753, 778]",[],0,6,0.0,"[1905, 204, 828, 2121, 753, 778]",6,0.6,"[1592, 623, 2555, 639, 2745, 2541, 4024, 2295, 2834, 4352]",10,1.0,1.0,0.0
34,[4305 2598 3243 1693   60   29 2630 2226 3894  380],"[816, 820, 359]",[],0,3,0.0,"[816, 820, 359]",3,0.3,"[4305, 2598, 3243, 1693, 60, 29, 2630, 2226, 3894, 380]",10,1.0,1.0,0.0
1803,[2397  113 1271 2627 1400  874 2474 1506 3110  514],"[298, 2230, 3174, 1428, 609, 433, 540]",[],0,7,0.0,"[298, 2230, 3174, 1428, 609, 433, 540]",7,0.7,"[2397, 113, 1271, 2627, 1400, 874, 2474, 1506, 3110, 514]",10,1.0,1.0,0.0
1561,[ 990 1087   52  202 3845 3269 2920  774 3494 4451],"[778, 793, 512, 245, 4, 2085]",[],0,6,0.0,"[778, 793, 512, 245, 4, 2085]",6,0.6,"[990, 1087, 52, 202, 3845, 3269, 2920, 774, 3494, 4451]",10,1.0,1.0,0.0
190,[3045  303 3400    7 4432 1804 3769 3887   90 1018],"[603, 807, 1324, 1518, 1760, 2464, 2462, 1265, 374, 532]",[],0,10,0.0,"[603, 807, 1324, 1518, 1760, 2464, 2462, 1265, 374, 532]",10,1.0,"[3045, 303, 3400, 7, 4432, 1804, 3769, 3887, 90, 1018]",10,1.0,1.0,0.0
260,[3736 2812  772  285 1905 2783 3834 1181 3090   25],"[2872, 2582, 2746, 794]",[],0,4,0.0,"[2872, 2582, 2746, 794]",4,0.4,"[3736, 2812, 772, 285, 1905, 2783, 3834, 1181, 3090, 25]",10,1.0,1.0,0.0
472,[3291 2458  135 1901 2641 3455 3104  990 1270 3733],"[1522, 1182, 1094, 297, 1089, 3580]",[],0,6,0.0,"[1522, 1182, 1094, 297, 1089, 3580]",6,0.6,"[3291, 2458, 135, 1901, 2641, 3455, 3104, 990, 1270, 3733]",10,1.0,1.0,0.0
1477,[3887 2872 1652 3058 2337 1581   39  438  642  805],"[246, 1645, 1630, 2020]",[],0,4,0.0,"[246, 1645, 1630, 2020]",4,0.4,"[3887, 2872, 1652, 3058, 2337, 1581, 39, 438, 642, 805]",10,1.0,1.0,0.0
1419,[3164 4393 2136  254 4292 3066 2218 1298  222  604],"[247, 2071, 4318, 997, 113, 828, 1193, 248]",[],0,8,0.0,"[247, 2071, 4318, 997, 113, 828, 1193, 248]",8,0.8,"[3164, 4393, 2136, 254, 4292, 3066, 2218, 1298, 222, 604]",10,1.0,1.0,0.0
361,[ 911  696   73  394 2802 3606 2871 1247 2798 2872],"[1045, 152, 925, 1628, 135, 3272, 1385]",[],0,7,0.0,"[1045, 152, 925, 1628, 135, 3272, 1385]",7,0.7,"[911, 696, 73, 394, 2802, 3606, 2871, 1247, 2798, 2872]",10,1.0,1.0,0.0
331,[3951 4102 4059 4031  347 3003 4432 3266 1346 1172],"[344, 1276, 2061, 164, 146]",[],0,5,0.0,"[344, 1276, 2061, 164, 146]",5,0.5,"[3951, 4102, 4059, 4031, 347, 3003, 4432, 3266, 1346, 1172]",10,1.0,1.0,0.0
1145,[1402  632  618 1776  693 1235 2756  440 2315 3966],"[337, 312, 2121, 4254, 1526, 338]",[],0,6,0.0,"[337, 312, 2121, 4254, 1526, 338]",6,0.6,"[1402, 632, 618, 1776, 693, 1235, 2756, 440, 2315, 3966]",10,1.0,1.0,0.0
977,[1866 1649 3046 2083 1101  277 1767 1262 1135   47],"[2071, 2133, 504, 1193, 372, 4163, 216, 923, 4071, 3884]",[],0,10,0.0,"[2071, 2133, 504, 1193, 372, 4163, 216, 923, 4071, 3884]",10,1.0,"[1866, 1649, 3046, 2083, 1101, 277, 1767, 1262, 1135, 47]",10,1.0,1.0,0.0
1563,[3164  254 2719 2313 2937 1898  584 3687 3598 1657],"[37, 1703, 2964, 1304, 1634, 3391, 3480]",[],0,7,0.0,"[37, 1703, 2964, 1304, 1634, 3391, 3480]",7,0.7,"[3164, 254, 2719, 2313, 2937, 1898, 584, 3687, 3598, 1657]",10,1.0,1.0,0.0
4,[ 748 3081 3712 3884 3669 1501 2332 4173 4099 3285],"[142, 152, 143, 145, 138, 158, 159, 148, 160, 155, 135, 140, 162, 150, 136, 163, 134]",[],0,17,0.0,"[142, 152, 143, 145, 138, 158, 159, 148, 160, 155, 135, 140, 162, 150, 136, 163, 134]",17,1.7,"[748, 3081, 3712, 3884, 3669, 1501, 2332, 4173, 4099, 3285]",10,1.0,1.0,0.0
536,[2465 1505 4017 1764  152 1470 2769 4102  138 1854],"[310, 225, 2753, 337, 1237, 3183, 607]",[],0,7,0.0,"[310, 225, 2753, 337, 1237, 3183, 607]",7,0.7,"[2465, 1505, 4017, 1764, 152, 1470, 2769, 4102, 138, 1854]",10,1.0,1.0,0.0
972,[4393  656 3271 3425 3218 1502 1111 4039  588 1264],"[620, 1292, 4169, 376, 545, 2134, 2131, 1067, 3379]",[],0,9,0.0,"[620, 1292, 4169, 376, 545, 2134, 2131, 1067, 3379]",9,0.9,"[4393, 656, 3271, 3425, 3218, 1502, 1111, 4039, 588, 1264]",10,1.0,1.0,0.0
1395,[1847 4059 1880  516    6 2660 3917 1943 3372 4446],"[1873, 232, 97, 793, 1931, 788, 300]",[],0,7,0.0,"[1873, 232, 97, 793, 1931, 788, 300]",7,0.7,"[1847, 4059, 1880, 516, 6, 2660, 3917, 1943, 3372, 4446]",10,1.0,1.0,0.0
458,[1366 2912 3879 3473 1379 4157   86 2245 1752 3624],"[680, 90]",[],0,2,0.0,"[680, 90]",2,0.2,"[1366, 2912, 3879, 3473, 1379, 4157, 86, 2245, 1752, 3624]",10,1.0,1.0,0.0
1039,[3256  578  206  666 1172 2458 2652  707 3241 3644],"[486, 278, 1550, 655, 1775, 3641, 151]",[],0,7,0.0,"[486, 278, 1550, 655, 1775, 3641, 151]",7,0.7,"[3256, 578, 206, 666, 1172, 2458, 2652, 707, 3241, 3644]",10,1.0,1.0,0.0
668,[1475 3567 2675  758 4338 3638 2977 1119 3152  510],"[2220, 1019, 2331, 338, 516, 304, 1823, 790, 504, 3727]",[],0,10,0.0,"[2220, 1019, 2331, 338, 516, 304, 1823, 790, 504, 3727]",10,1.0,"[1475, 3567, 2675, 758, 4338, 3638, 2977, 1119, 3152, 510]",10,1.0,1.0,0.0
1097,[4393 3029 4266 4131 2694 3528 2068 3298 2477  243],"[762, 3414, 67, 2554, 2148, 368, 2600, 648, 1096, 1189]",[],0,10,0.0,"[762, 3414, 67, 2554, 2148, 368, 2600, 648, 1096, 1189]",10,1.0,"[4393, 3029, 4266, 4131, 2694, 3528, 2068, 3298, 2477, 243]",10,1.0,1.0,0.0
1813,[1366 2705 2742  635 1002  758  366 4419 4255 2896],"[1156, 687, 4050]",[],0,3,0.0,"[1156, 687, 4050]",3,0.3,"[1366, 2705, 2742, 635, 1002, 758, 366, 4419, 4255, 2896]",10,1.0,1.0,0.0
1885,[2563 4145 4296 2181 3551 1093 4133 3654 1187 2313],"[450, 1809, 2307, 4039, 448, 3696, 444, 1835, 939]",[],0,9,0.0,"[450, 1809, 2307, 4039, 448, 3696, 444, 1835, 939]",9,0.9,"[2563, 4145, 4296, 2181, 3551, 1093, 4133, 3654, 1187, 2313]",10,1.0,1.0,0.0
467,[ 301 2136 1458  429  335 4148 2700 3064 4393  524],"[673, 327, 2572, 1107, 892, 3057, 1956, 3574, 2853]",[],0,9,0.0,"[673, 327, 2572, 1107, 892, 3057, 1956, 3574, 2853]",9,0.9,"[301, 2136, 1458, 429, 335, 4148, 2700, 3064, 4393, 524]",10,1.0,1.0,0.0
1418,[ 666 2302  491 1476 2542 2141 3677 2300 2836 3794],"[164, 1790, 1094, 419, 177]",[],0,5,0.0,"[164, 1790, 1094, 419, 177]",5,0.5,"[666, 2302, 491, 1476, 2542, 2141, 3677, 2300, 2836, 3794]",10,1.0,1.0,0.0
1009,[4390 1852 1794  276  592  204 4060 1946 3003  991],"[3649, 1117, 118, 86, 854, 3619]",[],0,6,0.0,"[3649, 1117, 118, 86, 854, 3619]",6,0.6,"[4390, 1852, 1794, 276, 592, 204, 4060, 1946, 3003, 991]",10,1.0,1.0,0.0
1378,[2982  142  702 3801 3301 2726 3774 2178 2136   71],"[1093, 274, 176, 218]",[],0,4,0.0,"[1093, 274, 176, 218]",4,0.4,"[2982, 142, 702, 3801, 3301, 2726, 3774, 2178, 2136, 71]",10,1.0,1.0,0.0
205,[1340  276   39 2819 1710  172  529  688  405 1646],"[1540, 1608, 745, 123, 1258]",[],0,5,0.0,"[1540, 1608, 745, 123, 1258]",5,0.5,"[1340, 276, 39, 2819, 1710, 172, 529, 688, 405, 1646]",10,1.0,1.0,0.0
200,[3380 3578 1267 1778  209 3480 1430 3798  639 1769],"[884, 1327, 2561, 2563]",[],0,4,0.0,"[884, 1327, 2561, 2563]",4,0.4,"[3380, 3578, 1267, 1778, 209, 3480, 1430, 3798, 639, 1769]",10,1.0,1.0,0.0
1888,[1018 1447 3884 1467 3097 3593 3997 1397  341  584],"[3325, 2367, 313, 86, 117, 3648, 717, 437, 703, 989]",[],0,10,0.0,"[3325, 2367, 313, 86, 117, 3648, 717, 437, 703, 989]",10,1.0,"[1018, 1447, 3884, 1467, 3097, 3593, 3997, 1397, 341, 584]",10,1.0,1.0,0.0
